team_name,player_name,player_id,role,bowling_arm,bowling_type,batting_hand,batter_classification,bowler_classification,batter_tags,bowler_tags,is_captain
Kolkata Knight Riders,Sunil Narine,9d430b40,All-rounder,Right-arm,Off-spin,Left-hand,Aggressive Opener,Middle-Overs Spinner,EXPLOSIVE_OPENER|PP_DOMINATOR|MIDDLE_OVERS_ACCELERATOR|SPIN_SPECIALIST,WORKHORSE|MID_OVERS_ELITE|PRESSURE_BUILDER|PROVEN_WICKET_TAKER
Chennai Super Kings,Rahul Chahar,2ed569a0,Bowler,Right-arm,Leg-spin,Right-hand,,Middle-Overs Spinner,,MIDDLE_OVERS_CONTROLLER
Royal Challengers Bengaluru,Krunal Pandya,5b8c830e,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,Middle-Overs Spinner,ACCUMULATOR,MIDDLE_OVERS_CONTROLLER|MID_OVERS_ELITE
Kolkata Knight Riders,Varun Chakravarthy,5b7ab5a9,Bowler,Right-arm,Off-spin,Right-hand,,Middle-Overs Spinner,,MIDDLE_OVERS_CONTROLLER|PROVEN_WICKET_TAKER
Delhi Capitals,Axar Patel,2e171977,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,Middle-Overs Spinner,ACCUMULATOR|SPIN_SPECIALIST,MIDDLE_OVERS_CONTROLLER|MID_OVERS_ELITE|PROVEN_WICKET_TAKER,TRUE
Delhi Capitals,Kuldeep Yadav,8d2c70ad,Bowler,Left-arm,Left-arm wrist spin,Left-hand,,Middle-Overs Spinner,,WORKHORSE|PROVEN_WICKET_TAKER
Punjab Kings,Yuzvendra Chahal,57ee1fde,Bowler,Right-arm,Leg-spin,Right-hand,,Middle-Overs Spinner,,MIDDLE_OVERS_CONTROLLER|PROVEN_WICKET_TAKER
Punjab Kings,Harnoor Singh,8b5b6769,Batter,Right-arm,Medium,Left-hand,,Middle-Overs Spinner,ACCUMULATOR,MIDDLE_OVERS_CONTROLLER|MID_OVERS_ELITE|PROVEN_WICKET_TAKER
Rajasthan Royals,Ravindra Jadeja,fe93fd9d,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,Middle-Overs Spinner,ACCUMULATOR|PACE_SPECIALIST,MIDDLE_OVERS_CONTROLLER|PROVEN_WICKET_TAKER
Rajasthan Royals,Ravi Bishnoi,df064e1a,Bowler,Right-arm,Leg-spin,Right-hand,,Middle-Overs Spinner,,WORKHORSE
Gujarat Titans,Rashid Khan,5f547c8b,Bowler,Right-arm,Leg-spin,Right-hand,,Middle-Overs Spinner,ACCUMULATOR,MIDDLE_OVERS_CONTROLLER|MID_OVERS_ELITE|PROVEN_WICKET_TAKER
Lucknow Super Giants,Wanindu Hasaranga,a97c8ec2,All-rounder,Right-arm,Leg-spin,Right-hand,,Middle-Overs Spinner,,WORKHORSE
Chennai Super Kings,Kartik Sharma,119678fd,Wicketkeeper,Right-arm,Medium,Right-hand,,Holding Spinner,,WORKHORSE
Gujarat Titans,Washington Sundar,f19ccfad,All-rounder,Right-arm,Off-spin,Left-hand,,Holding Spinner,ACCUMULATOR|PACE_SPECIALIST|VULNERABLE_VS_SPIN,WORKHORSE|MID_OVERS_ELITE
Lucknow Super Giants,Digvesh Rathi,13fc5c6d,Bowler,Right-arm,Leg-spin,Right-hand,,Middle-Overs Spinner,,WORKHORSE,
Mumbai Indians,Hardik Pandya,dbe50b21,All-rounder,Right-arm,Fast,Right-hand,All-Round Finisher,Expensive Option,FINISHER,WORKHORSE,TRUE
Punjab Kings,Marcus Stoinis,d9273ee7,All-rounder,Right-arm,Fast,Right-hand,All-Round Finisher,Expensive Option,FINISHER|PACE_SPECIALIST,PART_TIMER
Rajasthan Royals,Sam Curran,e94915e6,All-rounder,Left-arm,Fast,Left-hand,All-Round Finisher,Expensive Option,FINISHER|DEATH_SPECIALIST|SIX_HITTER|PACE_SPECIALIST,PART_TIMER
Mumbai Indians,Shardul Thakur,1abb78f8,All-rounder,Right-arm,Fast,Right-hand,,Expensive Option,,PART_TIMER|PROVEN_WICKET_TAKER
Royal Challengers Bengaluru,Yash Dayal,7210d461,Bowler,Left-arm,Fast,Left-hand,,Expensive Option,,PART_TIMER
