2026-02-11 18:05:22 | INFO     | scripts.ml_ops.model_monitoring | __init__:325 | ModelMonitor initialized with thresholds: AlertThresholds(pca_variance_batter=0.7, pca_variance_bowler=0.5, min_cluster_size=10, feature_drift_ks=0.1, multivariate_drift_mahal=3.0, prediction_latency_warning=1.0, prediction_latency_critical=5.0)
2026-02-11 18:05:22 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:978 | Health report saved to: /Users/dwijeshreddy/cricket-playbook/outputs/monitoring/health_reports/health_report_20260211_180522.json
2026-02-11 18:05:22 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:980 | Health report generated: status=HEALTHY, alerts=0 critical / 0 warning
2026-02-11 22:52:56 | INFO     | scripts.ml_ops.model_monitoring | __init__:325 | ModelMonitor initialized with thresholds: AlertThresholds(pca_variance_batter=0.7, pca_variance_bowler=0.5, min_cluster_size=10, feature_drift_ks=0.1, multivariate_drift_mahal=3.0, prediction_latency_warning=1.0, prediction_latency_critical=5.0)
2026-02-11 22:52:56 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:978 | Health report saved to: /Users/dwijeshreddy/cricket-playbook/outputs/monitoring/health_reports/health_report_20260211_225256.json
2026-02-11 22:52:56 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:980 | Health report generated: status=HEALTHY, alerts=0 critical / 0 warning
2026-02-11 23:28:54 | INFO     | scripts.ml_ops.model_monitoring | __init__:325 | ModelMonitor initialized with thresholds: AlertThresholds(pca_variance_batter=0.7, pca_variance_bowler=0.5, min_cluster_size=10, feature_drift_ks=0.1, multivariate_drift_mahal=3.0, prediction_latency_warning=1.0, prediction_latency_critical=5.0)
2026-02-11 23:28:54 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:978 | Health report saved to: /Users/dwijeshreddy/cricket-playbook/outputs/monitoring/health_reports/health_report_20260211_232854.json
2026-02-11 23:28:54 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:980 | Health report generated: status=HEALTHY, alerts=0 critical / 0 warning
2026-02-11 23:37:27 | INFO     | scripts.ml_ops.model_monitoring | __init__:325 | ModelMonitor initialized with thresholds: AlertThresholds(pca_variance_batter=0.7, pca_variance_bowler=0.5, min_cluster_size=10, feature_drift_ks=0.1, multivariate_drift_mahal=3.0, prediction_latency_warning=1.0, prediction_latency_critical=5.0)
2026-02-11 23:37:27 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:978 | Health report saved to: /Users/dwijeshreddy/cricket-playbook/outputs/monitoring/health_reports/health_report_20260211_233727.json
2026-02-11 23:37:27 | INFO     | scripts.ml_ops.model_monitoring | generate_health_report:980 | Health report generated: status=HEALTHY, alerts=0 critical / 0 warning
