bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,economy_diff,handedness_tags
ee1b6c27,N Thushara,71,8.45,35.5,2.0,92,10.3,13.14,7.0,-1.8500000000000014,"LHB_SPECIALIST, RHB_VULNERABLE"
56ab442f,NM Coulter-Nile,117,7.38,11.7,10.0,266,8.86,20.46,13.0,-1.4799999999999995,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
9eb1455b,NT Ellis,123,7.95,24.6,5.0,142,9.85,23.67,6.0,-1.8999999999999995,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
21d4e29b,Navdeep Saini,116,11.02,19.33,6.0,241,9.34,30.13,8.0,1.6799999999999997,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
c0c411cb,Naveen-ul-Haq,124,9.97,20.67,6.0,169,9.66,14.08,12.0,0.3100000000000005,
efc04be7,Noor Ahmad,223,7.8,13.12,17.0,437,8.42,18.21,24.0,-0.6200000000000001,LHB_PRESSURE
ded9240e,PJ Cummins,366,8.41,24.4,15.0,617,9.25,19.28,32.0,-0.8399999999999999,
98ae73b1,PP Chawla,335,8.61,19.71,17.0,809,8.49,22.47,36.0,0.11999999999999922,
327b58d3,PVD Chameera,130,10.25,130.0,1.0,156,10.69,19.5,8.0,-0.4399999999999995,
a97c8ec2,PWH de Silva,199,9.65,16.58,12.0,449,8.65,21.38,21.0,1.0,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_PRESSURE"
495d42a5,R Ashwin,741,7.77,30.88,24.0,1212,7.78,30.3,40.0,-0.010000000000000675,LHB_PRESSURE
33a364a6,R Bhatia,70,6.77,23.33,3.0,208,6.98,23.11,9.0,-0.21000000000000085,
26a85969,R Dhawan,83,9.11,41.5,2.0,133,8.12,19.0,7.0,0.9900000000000002,
04a418e8,R Parag,87,11.93,87.0,1.0,163,9.06,32.6,5.0,2.869999999999999,"RHB_SPECIALIST, LHB_VULNERABLE"
c7a995d3,R Sai Kishore,87,11.72,17.4,5.0,304,8.63,14.48,21.0,3.09,"RHB_SPECIALIST, LHB_VULNERABLE"
39a2dfa8,R Tewatia,156,8.42,31.2,5.0,287,7.99,31.89,9.0,0.4299999999999997,
fe93fd9d,RA Jadeja,598,8.8,28.48,21.0,1199,7.17,21.8,55.0,1.6300000000000008,"RHB_SPECIALIST, LHB_VULNERABLE"
2ed569a0,RD Chahar,356,7.58,23.73,15.0,639,8.17,19.97,32.0,-0.5899999999999999,
64775749,RP Meredith,126,11.76,15.75,8.0,149,9.42,24.83,6.0,2.34,"RHB_SPECIALIST, LHB_VULNERABLE"
5f547c8b,Rashid Khan,782,7.53,18.62,42.0,1250,7.47,23.58,53.0,0.0600000000000005,
b8527c3d,Rasikh Salam,68,11.29,17.0,4.0,118,10.98,29.5,4.0,0.3099999999999987,
df064e1a,Ravi Bishnoi,447,8.26,21.29,21.0,687,8.86,26.42,26.0,-0.5999999999999996,LHB_PRESSURE
957532de,S Aravind,92,10.5,30.67,3.0,98,10.04,24.5,4.0,0.46000000000000085,LHB_PRESSURE
7a8bd078,S Gopal,170,6.92,17.0,10.0,363,8.69,22.69,16.0,-1.7699999999999996,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
dcf81436,S Kaul,159,9.43,17.67,9.0,405,9.48,22.5,18.0,-0.05000000000000071,
1dc12ab9,SK Raina,71,8.11,71.0,1.0,111,7.19,55.5,2.0,0.919999999999999,RHB_PRESSURE
a12e1d51,SL Malinga,111,7.73,11.1,10.0,306,7.35,21.86,14.0,0.3800000000000008,
e94915e6,SM Curran,264,8.91,22.0,12.0,562,10.53,20.81,27.0,-1.6199999999999992,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
1abb78f8,SN Thakur,468,9.65,16.71,28.0,813,9.78,20.33,40.0,-0.129999999999999,
9d430b40,SP Narine,607,7.21,20.93,29.0,1489,7.06,29.78,50.0,0.15000000000000036,
4329fbb5,SR Watson,110,8.67,15.71,7.0,269,7.92,19.21,14.0,0.75,RHB_PRESSURE
ce820073,Sandeep Sharma,537,8.39,19.89,27.0,970,8.02,17.32,56.0,0.370000000000001,
f9e6e7ef,Shahbaz Ahmed,93,9.48,31.0,3.0,318,9.64,26.5,12.0,-0.16000000000000014,RHB_PRESSURE
7dc35884,Shakib Al Hasan,65,8.77,10.83,6.0,374,7.41,34.0,11.0,1.3599999999999994,"RHB_SPECIALIST, LHB_VULNERABLE"
c38d3503,Shivam Mavi,106,7.53,21.2,5.0,285,9.58,15.0,19.0,-2.05,"LHB_SPECIALIST, RHB_VULNERABLE"
30df8c66,Simarjeet Singh,85,10.8,21.25,4.0,113,10.41,16.14,7.0,0.39000000000000057,
9440ef41,Suyash Sharma,192,9.38,38.4,5.0,311,9.47,38.88,8.0,-0.08999999999999986,
ce794613,T Natarajan,411,9.55,14.68,28.0,533,8.65,15.68,34.0,0.9000000000000004,
a818c1be,TA Boult,526,8.29,15.47,34.0,952,8.5,15.11,63.0,-0.21000000000000085,
13c35c9e,TG Southee,163,9.09,23.29,7.0,329,8.17,13.16,25.0,0.9199999999999999,
46a9bea1,TU Deshpande,296,10.32,24.67,12.0,432,9.9,18.0,24.0,0.41999999999999993,
cc1e8c68,UT Yadav,262,8.59,16.38,16.0,784,10.13,23.06,34.0,-1.540000000000001,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
81c08fa3,Umran Malik,127,7.98,12.7,10.0,203,10.76,20.3,10.0,-2.7799999999999994,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
5ffc0565,V Nigam,77,8.96,19.25,4.0,150,9.84,18.75,8.0,-0.879999999999999,
0994d0ae,V Shankar,61,7.28,20.33,3.0,86,8.58,14.33,6.0,-1.2999999999999998,"LHB_SPECIALIST, RHB_VULNERABLE"
7c3b3b78,VG Arora,203,8.75,11.94,17.0,337,10.65,21.06,16.0,-1.9000000000000004,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_PRESSURE"
54e52590,Vijaykumar Vyshak,105,10.57,21.0,5.0,166,10.77,23.71,7.0,-0.1999999999999993,
f19ccfad,Washington Sundar,275,7.13,68.75,4.0,395,7.94,26.33,15.0,-0.8100000000000005,
57ee1fde,YS Chahal,659,9.49,17.34,38.0,1281,7.75,17.08,75.0,1.7400000000000002,"RHB_SPECIALIST, LHB_VULNERABLE"
7210d461,Yash Dayal,323,10.37,20.19,16.0,414,9.45,18.82,22.0,0.9199999999999999,
4b31f3a3,Yash Thakur,137,11.47,34.25,4.0,226,11.39,14.13,16.0,0.08000000000000007,
91a4a398,Z Khan,76,8.92,76.0,1.0,236,7.83,11.8,20.0,1.0899999999999999,"RHB_SPECIALIST, LHB_VULNERABLE"
