batter1_id,batter1_name,batter2_id,batter2_name,matches_together,total_runs,total_balls,partnership_sr,batter1_individual_sr,batter2_individual_sr,combined_avg_sr,synergy_score
0bacade8,Rahmanullah Gurbaz,d1c36f5c,JJ Roy,5,68.0,64.0,106.25,135.45,152.41,143.93,-24.1
0890552f,A Manohar,dbe50b21,HH Pandya,2,67.0,70.0,95.71,115.0,145.83,130.41,-24.3
3355b542,F du Plessis,b17e2f24,KL Rahul,5,128.0,106.0,120.75,151.55,135.88,143.72,-24.3
872b03f7,A Badoni,d67d5f00,DA Miller,7,159.0,129.0,123.26,142.45,142.66,142.56,-24.9
271f83cd,SA Yadav,b0482a1d,Tilak Varma,20,880.0,559.0,157.42,172.93,150.96,161.94,-25.3
0a509d6b,RK Singh,85ec8e33,SS Iyer,5,119.0,92.0,129.35,152.24,164.09,158.17,-26.5
3355b542,F du Plessis,9b6e1b3f,J Fraser-McGurk,3,92.0,70.0,131.43,151.55,201.57,176.56,-31.6
00ea847a,MA Agarwal,77255a9e,RA Tripathi,4,70.0,80.0,87.5,130.4,129.06,129.73,-33.8
04a418e8,R Parag,a4cc73aa,SV Samson,13,417.0,300.0,139.0,152.86,151.03,151.94,-38.8
3241e3fd,N Pooran,872b03f7,A Badoni,16,577.0,380.0,151.84,183.89,142.45,163.17,-43.0
235c2bb6,H Klaasen,8e514b4c,Abdul Samad,8,198.0,145.0,136.55,175.22,157.98,166.6,-43.6
85ec8e33,SS Iyer,989889ff,JP Inglis,8,106.0,96.0,110.42,164.09,162.57,163.33,-50.8
