batter1_id,batter1_name,batter2_id,batter2_name,match_year,matches_together,total_runs,total_balls,partnership_sr,batter1_sr,batter2_sr,synergy_score
29e95537,AM Rahane,a24be938,VR Iyer,2025,3,114.0,79.0,144.3,147.73,139.22,0.7
00ea847a,MA Agarwal,ba607b88,V Kohli,2025,2,71.0,48.0,147.92,148.44,144.71,0.6
0a509d6b,RK Singh,bbd41817,AD Russell,2025,6,77.0,48.0,160.42,154.89,163.73,0.5
271f83cd,SA Yadav,9caf69a1,WG Jacks,2025,6,226.0,149.0,151.68,167.92,135.47,0.0
800d2d97,JM Sharma,c740ea83,RM Patidar,2025,6,167.0,104.0,160.58,177.55,143.78,-0.1
b4b99816,Shubman Gill,f19ccfad,Washington Sundar,2025,1,90.0,56.0,160.71,157.0,166.25,-0.5
84d9c311,Ashutosh Sharma,85b3fab2,T Stubbs,2025,5,159.0,102.0,155.88,161.9,150.75,-0.5
a4e37e47,S Dube,ba5e1069,R Ravindra,2025,2,40.0,31.0,129.03,133.21,129.93,-0.8
04a418e8,R Parag,a4cc73aa,SV Samson,2025,3,57.0,38.0,150.0,167.23,141.79,-1.7
844e79d1,D Brevis,e94915e6,SM Curran,2025,1,78.0,50.0,156.0,180.0,139.02,-1.8
45a43fe2,RD Gaikwad,77255a9e,RA Tripathi,2025,1,46.0,39.0,117.95,150.62,96.49,-2.2
844e79d1,D Brevis,fe93fd9d,RA Jadeja,2025,5,113.0,73.0,154.79,180.0,135.59,-2.2
470f446b,V Suryavanshi,a4cc73aa,SV Samson,2025,1,98.0,58.0,168.97,208.26,141.79,-3.5
9418198b,P Simran Singh,d1a60072,N Wadhera,2025,4,63.0,43.0,146.51,162.77,147.01,-3.6
6a26221c,AK Markram,919a3be2,RR Pant,2025,4,98.0,72.0,136.11,149.33,133.17,-3.7
872b03f7,A Badoni,919a3be2,RR Pant,2025,3,79.0,59.0,133.9,148.87,133.17,-4.2
b0482a1d,Tilak Varma,fffa744b,Naman Dhir,2025,4,70.0,46.0,152.17,140.0,182.61,-4.2
740742ef,RG Sharma,9caf69a1,WG Jacks,2025,2,88.0,65.0,135.38,149.82,135.47,-4.7
08548b13,PHKD Mendis,235c2bb6,H Klaasen,2025,2,77.0,53.0,145.28,135.29,174.55,-5.1
6c19c6e5,YBK Jaiswal,a4cc73aa,SV Samson,2025,8,299.0,202.0,148.02,159.71,141.79,-5.5
5ffc0565,V Nigam,85b3fab2,T Stubbs,2025,3,74.0,48.0,154.17,182.05,150.75,-5.9
a24be938,VR Iyer,d7017798,A Raghuvanshi,2025,6,80.0,62.0,129.03,139.22,140.19,-6.6
3241e3fd,N Pooran,6a26221c,AK Markram,2025,6,170.0,102.0,166.67,197.74,149.33,-7.0
235c2bb6,H Klaasen,a3b0600d,Aniket Verma,2025,6,153.0,94.0,162.77,174.55,166.2,-7.2
99b75528,JC Buttler,b4b99816,Shubman Gill,2025,6,306.0,196.0,156.12,163.03,157.0,-7.6
a3b0600d,Aniket Verma,aad0c365,Nithish Kumar Reddy,2025,4,36.0,31.0,116.13,166.2,119.74,-8.3
3355b542,F du Plessis,ad3b6e95,Abishek Porel,2025,4,43.0,38.0,113.16,125.47,146.83,-8.7
29e95537,AM Rahane,372455c4,Q de Kock,2025,4,48.0,41.0,117.07,147.73,131.03,-9.1
dbe50b21,HH Pandya,fffa744b,Naman Dhir,2025,4,60.0,40.0,150.0,163.5,182.61,-9.2
84d9c311,Ashutosh Sharma,f89d3b11,Sameer Rizvi,2025,1,38.0,30.0,126.67,161.9,153.16,-9.3
0a509d6b,RK Singh,d7017798,A Raghuvanshi,2025,5,126.0,92.0,136.96,154.89,140.19,-9.7
271f83cd,SA Yadav,b0482a1d,Tilak Varma,2025,10,429.0,285.0,150.53,167.92,140.0,-9.8
a3b0600d,Aniket Verma,ded9240e,PJ Cummins,2025,3,45.0,33.0,136.36,166.2,167.24,-10.0
b2b4f545,A Mhatre,e94915e6,SM Curran,2025,3,47.0,35.0,134.29,188.98,139.02,-10.4
6b2ff18f,SB Dubey,bcf325d2,Dhruv Jurel,2025,5,94.0,66.0,142.42,163.08,156.34,-11.4
04a418e8,R Parag,6c19c6e5,YBK Jaiswal,2025,7,300.0,191.0,157.07,167.23,159.71,-12.2
77255a9e,RA Tripathi,ba5e1069,R Ravindra,2025,5,41.0,47.0,87.23,96.49,129.93,-12.2
6c19c6e5,YBK Jaiswal,fb2d1dda,N Rana,2025,6,89.0,63.0,141.27,159.71,161.94,-12.3
0994d0ae,V Shankar,a4e37e47,S Dube,2025,2,39.0,39.0,100.0,131.11,133.21,-12.5
bcf325d2,Dhruv Jurel,fb2d1dda,N Rana,2025,4,83.0,60.0,138.33,156.34,161.94,-12.5
2e171977,AR Patel,b17e2f24,KL Rahul,2025,7,215.0,149.0,144.3,157.49,149.72,-13.9
ad3b6e95,Abishek Porel,b17e2f24,KL Rahul,2025,8,332.0,234.0,141.88,146.83,149.72,-15.0
989889ff,JP Inglis,d1a60072,N Wadhera,2025,4,36.0,34.0,105.88,162.57,147.01,-16.6
50c6bc2b,LS Livingstone,c740ea83,RM Patidar,2025,5,58.0,54.0,107.41,133.33,143.78,-16.8
3d8feaf8,MR Marsh,6a26221c,AK Markram,2025,12,574.0,377.0,152.25,164.57,149.33,-17.7
3355b542,F du Plessis,b17e2f24,KL Rahul,2025,5,128.0,106.0,120.75,125.47,149.72,-17.8
ba5e1069,R Ravindra,e94915e6,SM Curran,2025,2,35.0,40.0,87.5,129.93,139.02,-18.8
872b03f7,A Badoni,d67d5f00,DA Miller,2025,7,159.0,129.0,123.26,148.87,128.57,-19.9
752f7486,Ishan Kishan,f29185a1,Abhishek Sharma,2025,5,156.0,102.0,152.94,152.59,195.11,-21.3
9418198b,P Simran Singh,b5797845,Priyansh Arya,2025,18,654.0,395.0,165.57,162.77,182.89,-28.7
235c2bb6,H Klaasen,aad0c365,Nithish Kumar Reddy,2025,4,115.0,103.0,111.65,174.55,119.74,-36.6
3241e3fd,N Pooran,872b03f7,A Badoni,2025,3,96.0,77.0,124.68,197.74,148.87,-37.4
85ec8e33,SS Iyer,989889ff,JP Inglis,2025,8,106.0,96.0,110.42,176.09,162.57,-56.6
