bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,economy_diff,strike_rate_diff,lhb_wickets_per_ball,rhb_wickets_per_ball,wickets_per_ball_diff,handedness_tags
1e66c162,JD Unadkat,100,9.0,20.0,5.0,199,8.68,16.58,12.0,0.3200000000000003,3.4200000000000017,0.05,0.06030150753768844,-0.010301507537688437,
462411b3,JJ Bumrah,210,5.94,12.35,17.0,305,7.18,16.94,18.0,-1.2399999999999993,-4.590000000000002,0.08095238095238096,0.05901639344262295,0.021935987509758004,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER"
03806cf8,JR Hazlewood,104,9.29,9.45,11.0,192,8.72,16.0,12.0,0.5699999999999985,-6.550000000000001,0.10576923076923077,0.0625,0.04326923076923077,LHB_WICKET_TAKER
e62dd25d,K Rabada,151,10.97,30.2,5.0,234,9.56,26.0,9.0,1.4100000000000001,4.199999999999999,0.033112582781456956,0.038461538461538464,-0.0053489556800815075,"RHB_SPECIALIST, LHB_VULNERABLE"
5b8c830e,KH Pandya,158,7.86,26.33,6.0,407,7.65,23.94,17.0,0.20999999999999996,2.389999999999997,0.0379746835443038,0.04176904176904177,-0.003794358224737969,
a2f46292,KK Ahmed,264,10.43,20.31,13.0,375,9.74,17.86,21.0,0.6899999999999995,2.4499999999999993,0.04924242424242424,0.056,-0.006757575757575761,
119678fd,KV Sharma,96,12.13,13.71,7.0,207,10.06,18.82,11.0,2.0700000000000003,-5.109999999999999,0.07291666666666667,0.05314009661835749,0.019776570048309183,"RHB_SPECIALIST, LHB_VULNERABLE"
8d2c70ad,Kuldeep Yadav,317,8.08,21.13,15.0,406,7.98,21.37,19.0,0.09999999999999964,-0.240000000000002,0.0473186119873817,0.046798029556650245,0.000520582430731456,
2f9d0389,LH Ferguson,105,9.71,15.0,7.0,106,10.81,15.14,7.0,-1.0999999999999996,-0.14000000000000057,0.06666666666666667,0.0660377358490566,0.0006289308176100628,"LHB_SPECIALIST, RHB_VULNERABLE"
50c6bc2b,LS Livingstone,60,8.9,30.0,2.0,83,9.47,27.67,3.0,-0.5700000000000003,2.3299999999999983,0.03333333333333333,0.03614457831325301,-0.0028112449799196776,
81c36ee9,M Jansen,194,11.04,14.92,13.0,262,9.76,21.83,12.0,1.2799999999999994,-6.909999999999998,0.06701030927835051,0.04580152671755725,0.02120878256079326,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_WICKET_TAKER"
