bowler_id,bowler_name,pressure_type,legal_balls,overs,runs_conceded,wickets,dot_balls,boundaries,sixes,pressure_economy,pressure_dot_pct,pressure_strike_rate,pressure_boundary_pct,pressure_six_pct
b681e71e,GJ Maxwell,powerplay_pressure,78.0,13.0,109.0,5.0,28.0,13.0,4.0,8.38,35.9,15.6,16.67,5.13
5574750c,JC Archer,powerplay_pressure,204.0,34.0,290.0,6.0,92.0,42.0,9.0,8.53,45.1,34.0,20.59,4.41
0a8fce53,Mustafizur Rahman,powerplay_pressure,121.0,20.2,172.0,5.0,49.0,28.0,3.0,8.53,40.5,24.2,23.14,2.48
23eeb873,DL Chahar,powerplay_pressure,482.0,80.3,685.0,23.0,214.0,103.0,24.0,8.53,44.4,20.96,21.37,4.98
13fc5c6d,DS Rathi,powerplay_pressure,90.0,15.0,128.0,2.0,30.0,16.0,2.0,8.53,33.33,45.0,17.78,2.22
8cf9814c,Mohammed Shami,powerplay_pressure,396.0,66.0,572.0,22.0,194.0,88.0,22.0,8.67,48.99,18.0,22.22,5.56
a2f46292,KK Ahmed,powerplay_pressure,516.0,86.0,753.0,20.0,254.0,128.0,27.0,8.76,49.22,25.8,24.81,5.23
46a9bea1,TU Deshpande,powerplay_pressure,408.0,68.0,596.0,16.0,179.0,91.0,23.0,8.76,43.87,25.5,22.3,5.64
2e171977,AR Patel,powerplay_pressure,180.0,30.0,264.0,6.0,71.0,39.0,13.0,8.8,39.44,30.0,21.67,7.22
5b8c830e,KH Pandya,powerplay_pressure,180.0,30.0,265.0,4.0,62.0,39.0,6.0,8.83,34.44,45.0,21.67,3.33
1e66c162,JD Unadkat,powerplay_pressure,108.0,18.0,159.0,3.0,34.0,22.0,5.0,8.83,31.48,36.0,20.37,4.63
cc1e8c68,UT Yadav,powerplay_pressure,186.0,31.0,274.0,5.0,86.0,45.0,13.0,8.84,46.24,37.2,24.19,6.99
98ae73b1,PP Chawla,powerplay_pressure,78.0,13.0,115.0,3.0,30.0,18.0,4.0,8.85,38.46,26.0,23.08,5.13
f24c6701,M Theekshana,powerplay_pressure,222.0,37.0,329.0,4.0,74.0,47.0,11.0,8.89,33.33,55.5,21.17,4.95
ce794613,T Natarajan,powerplay_pressure,180.0,30.0,267.0,6.0,71.0,42.0,6.0,8.9,39.44,30.0,23.33,3.33
fcc21ace,A Kamboj,powerplay_pressure,156.0,26.0,232.0,8.0,64.0,35.0,11.0,8.92,41.03,19.5,22.44,7.05
e94915e6,SM Curran,powerplay_pressure,246.0,41.0,366.0,3.0,99.0,58.0,10.0,8.93,40.24,82.0,23.58,4.07
eaa76d3c,C Green,powerplay_pressure,96.0,16.0,143.0,3.0,41.0,20.0,4.0,8.94,42.71,32.0,20.83,4.17
2cffab74,Mukesh Kumar,powerplay_pressure,264.0,44.0,396.0,8.0,109.0,65.0,13.0,9.0,41.29,33.0,24.62,4.92
7c3b3b78,VG Arora,powerplay_pressure,349.0,58.2,525.0,15.0,143.0,76.0,20.0,9.03,40.97,23.27,21.78,5.73
8db7f47f,RJW Topley,powerplay_pressure,60.0,10.0,91.0,2.0,27.0,16.0,3.0,9.1,45.0,30.0,26.67,5.0
b483905d,Akash Singh,powerplay_pressure,133.0,22.2,205.0,6.0,59.0,36.0,8.0,9.25,44.36,22.17,27.07,6.02
244048f6,Arshdeep Singh,powerplay_pressure,486.0,81.0,753.0,21.0,213.0,126.0,20.0,9.3,43.83,23.14,25.93,4.12
5bb1a1c4,I Sharma,powerplay_pressure,258.0,43.0,400.0,13.0,119.0,67.0,13.0,9.3,46.12,19.85,25.97,5.04
ee1b6c27,N Thushara,powerplay_pressure,96.0,16.0,149.0,7.0,40.0,24.0,4.0,9.31,41.67,13.71,25.0,4.17
9061a703,J Little,powerplay_pressure,78.0,13.0,122.0,3.0,34.0,19.0,5.0,9.38,43.59,26.0,24.36,6.41
e84ac20c,MJ Henry,powerplay_pressure,60.0,10.0,94.0,1.0,21.0,12.0,5.0,9.4,35.0,60.0,20.0,8.33
ded9240e,PJ Cummins,powerplay_pressure,264.0,44.0,419.0,12.0,113.0,65.0,22.0,9.52,42.8,22.0,24.62,8.33
9d430b40,SP Narine,powerplay_pressure,84.0,14.0,134.0,3.0,38.0,22.0,7.0,9.57,45.24,28.0,26.19,8.33
495d42a5,R Ashwin,powerplay_pressure,198.0,33.0,319.0,4.0,61.0,44.0,14.0,9.67,30.81,49.5,22.22,7.07
81c36ee9,M Jansen,powerplay_pressure,258.0,43.0,416.0,12.0,117.0,64.0,17.0,9.67,45.35,21.5,24.81,6.59
7210d461,Yash Dayal,powerplay_pressure,348.0,58.0,561.0,11.0,136.0,87.0,18.0,9.67,39.08,31.64,25.0,5.17
c0c411cb,Naveen-ul-Haq,powerplay_pressure,144.0,24.0,232.0,5.0,54.0,38.0,7.0,9.67,37.5,28.8,26.39,4.86
e62dd25d,K Rabada,powerplay_pressure,234.0,39.0,377.0,9.0,102.0,62.0,17.0,9.67,43.59,26.0,26.5,7.26
77b1aa15,Harshit Rana,powerplay_pressure,282.0,47.0,458.0,15.0,126.0,72.0,26.0,9.74,44.68,18.8,25.53,9.22
c33d8116,Mohsin Khan,powerplay_pressure,138.0,23.0,226.0,5.0,57.0,37.0,12.0,9.83,41.3,27.6,26.81,8.7
85e0cf10,M Prasidh Krishna,powerplay_pressure,78.0,13.0,128.0,3.0,29.0,19.0,5.0,9.85,37.18,26.0,24.36,6.41
8f6dd463,Azmatullah Omarzai,powerplay_pressure,162.0,27.0,266.0,3.0,64.0,42.0,12.0,9.85,39.51,54.0,25.93,7.41
e9c7f0d0,Fazalhaq Farooqi,powerplay_pressure,102.0,17.0,168.0,2.0,40.0,28.0,4.0,9.88,39.22,51.0,27.45,3.92
c05edf8e,Harpreet Brar,powerplay_pressure,96.0,16.0,161.0,2.0,35.0,28.0,7.0,10.06,36.46,48.0,29.17,7.29
f986ca1a,HV Patel,powerplay_pressure,102.0,17.0,172.0,4.0,42.0,28.0,7.0,10.12,41.18,25.5,27.45,6.86
83c3e8e3,SH Johnson,powerplay_pressure,84.0,14.0,143.0,1.0,35.0,23.0,7.0,10.21,41.67,84.0,27.38,8.33
4b31f3a3,Yash Thakur,powerplay_pressure,108.0,18.0,184.0,7.0,48.0,31.0,10.0,10.22,44.44,15.43,28.7,9.26
acdc62f5,A Nortje,powerplay_pressure,138.0,23.0,236.0,7.0,63.0,43.0,7.0,10.26,45.65,19.71,31.16,5.07
759ac88f,MM Sharma,powerplay_pressure,60.0,10.0,104.0,1.0,21.0,18.0,4.0,10.4,35.0,60.0,30.0,6.67
4885bbe6,Yudhvir Singh,powerplay_pressure,85.0,14.2,148.0,6.0,40.0,26.0,7.0,10.45,47.06,14.17,30.59,8.24
465aa633,N Burger,powerplay_pressure,60.0,10.0,105.0,4.0,29.0,18.0,4.0,10.5,48.33,15.0,30.0,6.67
12314277,Arshad Khan,powerplay_pressure,186.0,31.0,326.0,7.0,73.0,53.0,13.0,10.52,39.25,26.57,28.49,6.99
dbe50b21,HH Pandya,powerplay_pressure,162.0,27.0,286.0,5.0,68.0,52.0,10.0,10.59,41.98,32.4,32.1,6.17
cdc6bdba,S Sandeep Warrier,powerplay_pressure,60.0,10.0,107.0,6.0,28.0,17.0,8.0,10.7,46.67,10.0,28.33,13.33
f9e6e7ef,Shahbaz Ahmed,powerplay_pressure,72.0,12.0,130.0,2.0,18.0,18.0,9.0,10.83,25.0,36.0,25.0,12.5
3204c99f,G Coetzee,powerplay_pressure,66.0,11.0,120.0,3.0,30.0,19.0,7.0,10.91,45.45,22.0,28.79,10.61
3fb19989,MA Starc,powerplay_pressure,312.0,52.0,569.0,16.0,129.0,94.0,22.0,10.94,41.35,19.5,30.13,7.05
eef2536f,Avesh Khan,powerplay_pressure,233.0,38.8,434.0,6.0,76.0,71.0,18.0,11.18,32.62,38.83,30.47,7.73
1abb78f8,SN Thakur,powerplay_pressure,178.0,29.7,335.0,6.0,50.0,57.0,12.0,11.29,28.09,29.67,32.02,6.74
0a67aec0,Akash Deep,powerplay_pressure,90.0,15.0,180.0,3.0,33.0,27.0,8.0,12.0,36.67,30.0,30.0,8.89
