batter_id,batter_name,pace_balls,pace_sr,pace_avg,pace_dismissals,spin_balls,spin_sr,spin_avg,spin_dismissals,bowling_type_tags
b5da6c24,PA Patel,402,122.64,24.65,20.0,132,116.67,30.8,5.0,VULNERABLE_VS_OFF_SPIN
6c882e9a,PBB Rajapaksa,54,194.44,21.0,5.0,38,118.42,22.5,2.0,SPECIALIST_VS_PACE
3d284ca3,PD Salt,361,178.12,37.82,17.0,111,152.25,28.17,6.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN"
08548b13,PHKD Mendis,33,93.94,15.5,2.0,0,0.0,,0.0,VULNERABLE_VS_PACE
ded9240e,PJ Cummins,194,169.07,32.8,10.0,44,88.64,19.5,2.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_OFF_SPIN"
bb965e9a,PK Garg,67,119.4,11.43,7.0,0,0.0,,0.0,
663b5e34,PN Mankad,33,121.21,40.0,1.0,0,0.0,,0.0,
98ae73b1,PP Chawla,54,129.63,23.33,3.0,0,0.0,,0.0,
8b3e9c7c,PP Shaw,559,141.5,21.97,36.0,232,150.0,20.47,17.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
a97c8ec2,PWH de Silva,36,63.89,5.75,4.0,0,0.0,,0.0,VULNERABLE_VS_PACE
b5797845,Priyansh Arya,205,180.0,33.55,11.0,0,0.0,,0.0,SPECIALIST_VS_PACE
372455c4,Q de Kock,887,138.9,28.0,44.0,421,123.52,30.59,17.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_SPIN, VULNERABLE_VS_OFF_SPIN"
495d42a5,R Ashwin,170,125.29,12.53,17.0,90,114.44,11.44,9.0,
26a85969,R Dhawan,39,117.95,23.0,2.0,0,0.0,,0.0,
0184dc35,R Dravid,97,126.8,61.5,2.0,0,0.0,,0.0,
04a418e8,R Parag,479,160.33,27.43,28.0,355,117.75,41.8,10.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_WRIST_SPIN, VULNERABLE_VS_LEG_SPIN"
650d5e49,R Powell,95,157.89,15.0,10.0,47,102.13,12.0,4.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_LEG_SPIN"
ba5e1069,R Ravindra,159,146.54,25.89,9.0,0,0.0,,0.0,SPECIALIST_VS_PACE
c5aef772,R Shepherd,51,268.63,34.25,4.0,0,0.0,,0.0,SPECIALIST_VS_PACE
39a2dfa8,R Tewatia,383,148.3,27.05,21.0,127,105.51,33.5,4.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, VULNERABLE_VS_OFF_SPIN"
fe93fd9d,RA Jadeja,663,149.62,49.6,20.0,387,101.03,26.07,15.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_LEG_SPIN, VULNERABLE_VS_OFF_SPIN"
77255a9e,RA Tripathi,626,136.42,25.88,33.0,418,125.84,26.3,20.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_OFF_SPIN"
2ed569a0,RD Chahar,74,97.3,9.0,8.0,0,0.0,,0.0,VULNERABLE_VS_PACE
45a43fe2,RD Gaikwad,879,131.29,44.38,26.0,500,137.8,45.93,15.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_LEG_SPIN"
e66732f8,RD Rickelton,135,161.48,27.25,8.0,0,0.0,,0.0,SPECIALIST_VS_PACE
740742ef,RG Sharma,1117,136.62,26.31,58.0,713,113.6,20.25,40.0,SPECIALIST_VS_PACE
0a509d6b,RK Singh,312,174.68,32.06,17.0,197,125.38,22.45,11.0,SPECIALIST_VS_PACE
c740ea83,RM Patidar,305,144.26,31.43,14.0,236,177.12,59.71,7.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN"
919a3be2,RR Pant,701,154.35,29.24,37.0,692,136.27,39.29,24.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, VULNERABLE_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_LEG_SPIN"
cad00a4d,RR Rossouw,114,164.91,26.86,7.0,31,174.19,27.0,2.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN"
60500956,RV Patel,39,87.18,,0.0,0,0.0,,0.0,VULNERABLE_VS_PACE
1c17e270,RV Uthappa,623,129.86,33.71,24.0,370,130.81,25.47,19.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
0bacade8,Rahmanullah Gurbaz,164,129.88,17.75,12.0,0,0.0,,0.0,
be24ead0,Ramandeep Singh,58,179.31,20.8,5.0,0,0.0,,0.0,SPECIALIST_VS_PACE
5f547c8b,Rashid Khan,188,162.77,12.24,25.0,0,0.0,,0.0,SPECIALIST_VS_PACE
df064e1a,Ravi Bishnoi,44,77.27,4.86,7.0,0,0.0,,0.0,VULNERABLE_VS_PACE
3576e47e,S Badrinath,30,146.67,44.0,1.0,0,0.0,,0.0,SPECIALIST_VS_PACE
0a476045,S Dhawan,1156,129.07,46.62,32.0,719,119.33,37.3,23.0,"SPECIALIST_VS_LEFT_ARM_SPIN, VULNERABLE_VS_LEFT_ARM_WRIST_SPIN"
a4e37e47,S Dube,534,151.87,33.79,24.0,319,143.26,45.7,10.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN"
7a8bd078,S Gopal,53,137.74,10.43,7.0,0,0.0,,0.0,SPECIALIST_VS_PACE
271f83cd,SA Yadav,912,159.54,32.33,45.0,836,132.06,48.0,23.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_LEG_SPIN"
6b2ff18f,SB Dubey,60,185.0,22.2,5.0,0,0.0,,0.0,SPECIALIST_VS_PACE
1fc6ef83,SD Hope,46,115.22,17.67,3.0,0,0.0,,0.0,
508a1ea7,SE Marsh,68,100.0,17.0,4.0,79,137.97,109.0,1.0,"VULNERABLE_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN, VULNERABLE_VS_OFF_SPIN"
d014d5ac,SE Rutherford,121,144.63,17.5,10.0,31,119.35,,0.0,SPECIALIST_VS_PACE
1dc12ab9,SK Raina,449,140.31,31.5,20.0,401,135.66,28.63,19.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
cbf58a86,SK Rasheed,49,122.45,20.0,3.0,0,0.0,,0.0,
e94915e6,SM Curran,265,133.21,19.61,18.0,194,143.81,27.9,10.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN"
f088b960,SN Khan,140,141.43,33.0,6.0,93,113.98,17.67,6.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_LEG_SPIN"
1abb78f8,SN Thakur,90,173.33,14.18,11.0,32,75.0,8.0,3.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_LEG_SPIN"
48a1d7b7,SO Hetmyer,468,157.69,26.36,28.0,174,116.67,22.56,9.0,SPECIALIST_VS_PACE
9d430b40,SP Narine,496,156.25,20.39,38.0,117,166.67,12.19,16.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN"
30a45b23,SPD Smith,356,123.88,29.4,15.0,351,109.97,38.6,10.0,
d2c2b2d5,SR Tendulkar,84,119.05,50.0,2.0,0,0.0,,0.0,
4329fbb5,SR Watson,485,114.64,34.75,16.0,327,122.02,16.62,24.0,"SPECIALIST_VS_LEG_SPIN, VULNERABLE_VS_OFF_SPIN"
85ec8e33,SS Iyer,913,135.82,28.84,43.0,707,129.7,38.21,24.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_OFF_SPIN"
709b0bac,SS Tiwary,139,122.3,34.0,5.0,80,145.0,23.2,5.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN"
bd17b45f,STR Binny,106,131.13,17.38,8.0,0,0.0,,0.0,SPECIALIST_VS_PACE
a4cc73aa,SV Samson,1003,135.89,27.26,50.0,792,132.7,36.24,29.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN"
c16d4035,SW Billings,100,110.0,12.22,9.0,78,119.23,23.25,4.0,
dc9dd038,Sachin Baby,33,118.18,39.0,1.0,0,0.0,,0.0,
f89d3b11,Sameer Rizvi,68,163.24,37.0,3.0,32,65.62,7.0,3.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_LEFT_ARM_SPIN"
f9e6e7ef,Shahbaz Ahmed,171,133.33,15.2,15.0,84,84.52,35.5,2.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_LEFT_ARM_SPIN, VULNERABLE_VS_LEG_SPIN"
7dc35884,Shakib Al Hasan,86,110.47,11.88,8.0,68,133.82,18.2,5.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN"
26989d80,Shashank Singh,197,169.04,37.0,9.0,141,126.95,35.8,5.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN"
b4b99816,Shubman Gill,1225,131.27,30.92,52.0,661,141.3,58.38,16.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
26d041c4,Sikandar Raza,53,113.21,20.0,3.0,0,0.0,,0.0,
f836b33d,T Kohler-Cadmore,51,92.16,23.5,2.0,0,0.0,,0.0,VULNERABLE_VS_PACE
85b3fab2,T Stubbs,194,150.52,41.71,7.0,141,156.03,44.0,5.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
a818c1be,TA Boult,47,97.87,11.5,4.0,0,0.0,,0.0,VULNERABLE_VS_PACE
13c35c9e,TG Southee,37,97.3,12.0,3.0,0,0.0,,0.0,VULNERABLE_VS_PACE
f1f99156,TH David,290,193.45,40.07,14.0,69,142.03,32.67,3.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN"
5bdcdb72,TM Dilshan,49,81.63,13.33,3.0,0,0.0,,0.0,VULNERABLE_VS_PACE
12b610c2,TM Head,344,177.03,33.83,18.0,101,175.25,35.4,5.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
b0482a1d,Tilak Varma,413,149.64,32.53,19.0,357,143.42,64.0,8.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
cc1e8c68,UT Yadav,66,140.91,23.25,4.0,0,0.0,,0.0,SPECIALIST_VS_PACE
ba607b88,V Kohli,1534,146.02,37.97,59.0,1234,120.02,49.37,30.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_WRIST_SPIN"
8ba8195d,V Sehwag,107,118.69,25.4,5.0,0,0.0,,0.0,
0994d0ae,V Shankar,323,133.75,24.0,18.0,261,115.71,30.2,10.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_LEFT_ARM_SPIN, VULNERABLE_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
470f446b,V Suryavanshi,65,195.38,31.75,4.0,0,0.0,,0.0,SPECIALIST_VS_PACE
a24be938,VR Iyer,483,140.17,30.77,22.0,185,133.51,20.58,12.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN"
9caf69a1,WG Jacks,114,171.05,48.75,4.0,96,131.25,31.5,4.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN"
fe11caa6,WP Saha,627,133.97,25.45,33.0,361,109.14,26.27,15.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_LEG_SPIN"
f19ccfad,Washington Sundar,184,135.33,15.56,16.0,71,81.69,9.67,6.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_LEFT_ARM_SPIN, VULNERABLE_VS_LEG_SPIN"
fe763256,Y Venugopal Rao,35,80.0,9.33,3.0,0,0.0,,0.0,VULNERABLE_VS_PACE
6c19c6e5,YBK Jaiswal,785,158.98,32.0,39.0,267,147.94,65.83,6.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
3c6ffae8,YK Pathan,202,129.21,29.0,9.0,115,105.22,20.17,6.0,VULNERABLE_VS_LEG_SPIN
57ee1fde,YS Chahal,40,45.0,9.0,2.0,0,0.0,,0.0,VULNERABLE_VS_PACE
1c914163,Yuvraj Singh,146,116.44,21.25,8.0,166,127.71,35.33,6.0,"SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, VULNERABLE_VS_OFF_SPIN"
