match_phase,bowler_id,bowler_name,overs,wickets,runs_conceded,economy,dot_ball_pct,pct_overs_in_phase,pct_wickets_in_phase,sample_size,phase_rank
powerplay,80b2fb19,Prince Yadav,4.0,0.0,33.0,8.25,58.33,17.5,0.0,MEDIUM,89
powerplay,6a26221c,AK Markram,4.0,1.0,40.0,10.0,37.5,18.9,20.0,MEDIUM,90
powerplay,3d8feaf8,MR Marsh,4.0,2.0,29.0,7.25,33.33,14.2,15.4,MEDIUM,91
powerplay,9440ef41,Suyash Sharma,3.0,3.0,22.0,7.33,38.89,3.2,16.7,HIGH,92
powerplay,c7a995d3,R Sai Kishore,3.0,1.0,33.0,11.0,38.89,5.2,3.8,HIGH,93
powerplay,aad0c365,Nithish Kumar Reddy,3.0,0.0,27.0,9.0,38.89,12.9,0.0,MEDIUM,94
powerplay,57ee1fde,YS Chahal,3.0,2.0,16.0,5.33,33.33,1.9,3.7,HIGH,95
powerplay,fe93fd9d,RA Jadeja,2.0,0.0,13.0,6.5,25.0,1.4,0.0,HIGH,96
powerplay,c5aef772,R Shepherd,2.0,1.0,21.0,10.5,33.33,7.7,14.3,MEDIUM,97
powerplay,a457cfb5,Mayank Dagar,2.0,0.0,29.0,14.5,33.33,8.8,0.0,MEDIUM,98
powerplay,50c6bc2b,LS Livingstone,1.0,0.0,7.0,7.0,33.33,3.6,0.0,MEDIUM,99
powerplay,2ed569a0,RD Chahar,1.0,0.0,9.0,9.0,33.33,1.2,0.0,HIGH,100
powerplay,81c08fa3,Umran Malik,1.0,0.0,28.0,28.0,0.0,4.8,0.0,MEDIUM,101
powerplay,04a418e8,R Parag,1.0,0.0,6.0,6.0,50.0,4.3,0.0,MEDIUM,102
powerplay,8d2c70ad,Kuldeep Yadav,1.0,0.0,20.0,20.0,16.67,0.7,0.0,HIGH,103
