bowler_id,bowler_name,powerplay_overs,powerplay_economy,powerplay_wickets,middle_overs,middle_economy,middle_wickets,death_overs,death_economy,death_wickets,phase_tags
2e78f685,KR Sen,7.0,9.43,2.0,23.0,8.35,8.0,10.2,13.57,4.0,
d027ba9f,KS Williamson,1.0,7.0,0.0,2.0,12.0,0.0,0.0,,0.0,
107c26fb,KT Maphaka,7.0,11.86,2.0,2.0,15.5,0.0,2.0,17.0,0.0,
119678fd,KV Sharma,26.0,7.35,7.0,218.0,8.51,72.0,20.2,10.76,10.0,MIDDLE_OVERS_LIABILITY
dfc4d8b5,KW Richardson,28.0,7.0,10.0,9.0,8.56,1.0,18.8,10.94,10.0,
6ef60d3a,Kamran Khan,13.0,9.08,5.0,8.0,7.0,3.0,5.7,10.41,5.0,
1647bd37,Karanveer Singh,2.0,13.0,0.0,28.0,8.71,9.0,4.0,13.25,5.0,
62175638,Karim Janat,0.0,,0.0,1.0,30.0,0.0,0.0,,0.0,
5d2eea49,Kartik Tyagi,25.0,10.96,5.0,25.0,8.96,3.0,20.3,10.92,8.0,
8d2c70ad,Kuldeep Yadav,10.0,8.8,0.0,278.3,8.08,73.0,55.7,8.39,33.0,DEATH_BEAST
8b9704ae,L Ablish,2.0,13.0,1.0,2.0,15.5,0.0,3.0,6.33,4.0,
b2b50355,L Balaji,75.0,7.17,16.0,93.3,7.16,30.0,83.7,10.48,39.0,
f834dcfc,L Ngidi,25.0,7.68,10.0,13.0,8.15,6.0,24.0,10.13,16.0,
65b6943c,L Wood,2.0,13.0,0.0,2.0,11.5,1.0,2.0,22.5,0.0,
d872f52a,LA Carseldine,1.0,6.0,1.0,0.0,,0.0,0.0,,0.0,
a1d95bd8,LB Williams,4.2,13.44,0.0,1.0,4.0,1.0,1.0,14.0,0.0,
9a963804,LE Plunkett,7.0,10.29,1.0,10.0,8.5,1.0,8.0,8.88,2.0,
2f9d0389,LH Ferguson,44.3,8.93,16.0,74.0,8.11,23.0,52.2,10.73,22.0,DEATH_LIABILITY
d3611425,LI Meriwala,2.0,14.0,0.0,1.0,4.0,1.0,0.0,,0.0,
cca50cd6,LJ Wright,1.0,12.0,0.0,7.0,9.71,1.0,3.8,11.74,1.0,
89f64c19,LMP Simmons,0.0,,0.0,1.0,10.0,0.0,2.0,12.0,1.0,
1be70c88,LPC Silva,0.0,,0.0,0.0,,0.0,1.0,21.0,0.0,
b1451597,LR Shukla,4.3,11.77,0.0,35.0,8.11,8.0,13.0,9.46,9.0,
b61a3e1a,LRPL Taylor,0.0,,0.0,2.0,12.0,0.0,0.0,,0.0,
50c6bc2b,LS Livingstone,3.0,5.67,1.0,45.0,9.47,11.0,4.0,7.0,1.0,
ad427b5c,Lalit Yadav,16.0,9.69,2.0,28.0,8.18,8.0,4.0,11.5,1.0,
e2db2409,M Ashwin,15.0,9.33,2.0,109.0,7.82,26.0,21.0,9.05,7.0,
81c36ee9,M Jansen,67.0,9.03,18.0,40.3,9.92,10.0,15.2,11.54,10.0,
abfeb126,M Kartik,29.8,7.17,8.0,136.0,7.33,23.0,25.7,8.06,8.0,
c42aaf71,M Manhas,0.0,,0.0,6.0,5.67,0.0,1.0,8.0,0.0,
a9fd84fb,M Markande,0.0,,0.0,104.0,8.67,34.0,16.0,11.19,3.0,MIDDLE_OVERS_LIABILITY
5bb5a915,M Morkel,151.0,7.33,37.0,55.5,7.68,11.0,65.0,9.28,40.0,
4ba44e19,M Muralitharan,24.0,6.29,2.0,184.2,6.65,41.0,45.8,8.29,23.0,"MIDDLE_OVERS_BEAST, DEATH_BEAST"
20a941bb,M Ntini,26.0,7.0,5.0,3.0,7.33,0.0,6.0,8.83,3.0,
64839cb3,M Pathirana,0.0,,0.0,50.0,8.2,14.0,67.0,9.51,39.0,
85e0cf10,M Prasidh Krishna,101.2,8.27,18.0,65.5,7.86,18.0,83.3,10.62,43.0,DEATH_LIABILITY
7dcb9bc9,M Shahrukh Khan,0.0,,0.0,2.0,11.0,1.0,1.0,7.0,0.0,
cf0ccafa,M Siddharth,10.2,7.87,2.0,6.0,10.0,1.0,0.0,,0.0,
f24c6701,M Theekshana,52.0,8.69,10.0,68.0,7.88,14.0,26.0,9.15,12.0,
fb5f69e4,M Tiwari,0.0,,0.0,1.0,14.0,0.0,0.0,,0.0,
4b57e452,M Vijay,1.0,8.0,0.0,5.0,8.2,0.0,0.0,,0.0,
d4eef961,M de Lange,10.0,8.2,2.0,3.0,9.67,1.0,5.0,12.0,3.0,
0d232ffd,MA Khote,0.0,,0.0,3.0,9.33,1.0,2.0,12.0,1.0,
3fb19989,MA Starc,101.0,9.12,26.0,22.0,7.64,10.0,53.5,9.12,40.0,
8d92a2c3,MA Wood,4.0,10.0,2.0,7.0,5.43,2.0,9.0,12.67,7.0,
86ae8ef2,MB Parmar,1.0,14.0,0.0,2.0,9.5,0.0,0.0,,0.0,
32198ae0,MC Henriques,33.8,8.28,9.0,108.2,7.98,32.0,16.3,9.73,5.0,
ab89348d,MF Maharoof,28.0,7.57,11.0,25.0,6.6,9.0,17.0,9.12,13.0,
e38bce7a,MG Bracewell,2.0,6.5,3.0,9.0,9.11,3.0,0.0,,0.0,
f5180fe6,MG Johnson,103.0,8.02,26.0,52.0,8.1,8.0,50.3,9.68,30.0,
0164b064,MG Neser,1.0,18.0,0.0,1.0,11.0,0.0,2.0,16.5,0.0,
f842c2cf,MJ Clarke,0.0,,0.0,10.0,6.3,3.0,1.0,9.0,0.0,
e84ac20c,MJ Henry,13.0,10.0,1.0,1.0,8.0,0.0,3.0,15.0,2.0,
51a3c5ef,MJ McClenaghan,109.0,7.95,32.0,42.0,8.79,9.0,61.3,9.83,34.0,
e4a0deae,MJ Santner,23.0,8.0,2.0,70.0,6.93,20.0,7.5,10.0,4.0,MIDDLE_OVERS_BEAST
025c4400,MJ Suthar,2.0,13.0,0.0,0.0,,0.0,0.0,,0.0,
da934ee8,MK Lomror,2.0,5.5,1.0,13.0,8.92,1.0,0.0,,0.0,
26e5cabf,MK Tiwary,0.0,,0.0,5.0,11.0,0.0,2.0,14.0,1.0,
bb351c23,MM Ali,16.0,5.56,5.0,116.8,7.49,37.0,9.5,7.58,4.0,
f0f628c7,MM Patel,109.0,7.19,30.0,66.0,6.17,24.0,50.8,10.66,28.0,"MIDDLE_OVERS_BEAST, DEATH_LIABILITY"
759ac88f,MM Sharma,143.0,8.17,38.0,123.0,7.93,36.0,134.5,10.36,75.0,
f846de6a,MN Samuels,13.0,6.23,3.0,14.0,8.29,2.0,8.7,10.15,5.0,
d9273ee7,MP Stoinis,26.5,9.58,9.0,94.2,9.2,21.0,27.3,13.06,16.0,MIDDLE_OVERS_LIABILITY
b1ad996b,MP Yadav,6.0,12.33,3.0,11.0,8.18,4.0,3.2,7.58,3.0,
3d8feaf8,MR Marsh,17.7,8.77,6.0,55.5,7.64,19.0,20.2,11.11,12.0,
ae78bc32,MS Gony,81.0,8.91,18.0,47.0,8.13,13.0,20.0,10.65,8.0,
a90e53ec,MW Short,2.0,7.0,0.0,2.0,5.5,0.0,0.0,,0.0,
c3a96caf,Mandeep Singh,0.0,,0.0,2.0,13.0,0.0,0.0,,0.0,
