batter_id,batter_name,pace_balls,pace_sr,pace_avg,pace_dismissals,spin_balls,spin_sr,spin_avg,spin_dismissals,bowling_type_tags
740742ef,RG Sharma,549,144.81,28.39,28.0,240,142.08,22.73,15.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_OFF_SPIN"
0a509d6b,RK Singh,310,174.84,38.71,14.0,242,123.55,33.22,9.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_SPIN"
c740ea83,RM Patidar,242,149.17,18.05,20.0,188,172.34,54.0,6.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN"
919a3be2,RR Pant,288,158.33,35.08,13.0,186,118.28,24.44,9.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEG_SPIN"
cad00a4d,RR Rossouw,130,195.38,31.75,8.0,121,126.45,21.86,7.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEG_SPIN"
0bacade8,Rahmanullah Gurbaz,204,124.02,21.08,12.0,62,175.81,21.8,5.0,SPECIALIST_VS_LEG_SPIN
be24ead0,Ramandeep Singh,56,198.21,27.75,4.0,38,155.26,11.8,5.0,
5f547c8b,Rashid Khan,112,172.32,16.08,12.0,38,171.05,65.0,1.0,
0a476045,S Dhawan,251,140.24,39.11,9.0,128,135.16,28.83,6.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN"
a4e37e47,S Dube,482,152.28,36.7,20.0,282,147.52,34.67,12.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
271f83cd,SA Yadav,530,189.06,38.54,26.0,434,153.23,73.89,9.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
6b2ff18f,SB Dubey,64,185.94,19.83,6.0,20,100.0,20.0,1.0,
1fc6ef83,SD Hope,75,134.67,20.2,5.0,42,159.52,33.5,2.0,SPECIALIST_VS_PACE
d014d5ac,SE Rutherford,128,157.81,18.36,11.0,53,152.83,,0.0,
cbf58a86,SK Rasheed,52,119.23,15.5,4.0,11,81.82,9.0,1.0,
e94915e6,SM Curran,267,135.21,21.24,17.0,215,119.53,32.12,8.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_SPIN"
1abb78f8,SN Thakur,65,160.0,13.0,8.0,31,135.48,10.5,4.0,
48a1d7b7,SO Hetmyer,279,158.78,23.32,19.0,139,138.13,27.43,7.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN"
9d430b40,SP Narine,338,168.93,28.55,20.0,93,187.1,15.82,11.0,SPECIALIST_VS_PACE
85ec8e33,SS Iyer,354,167.51,34.88,17.0,205,151.71,77.75,4.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_LEG_SPIN"
a4cc73aa,SV Samson,477,147.59,32.0,22.0,285,154.74,44.1,10.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, VULNERABLE_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
f89d3b11,Sameer Rizvi,71,156.34,22.2,5.0,51,119.61,30.5,2.0,
f9e6e7ef,Shahbaz Ahmed,123,139.02,15.55,11.0,88,105.68,23.25,4.0,
26989d80,Shashank Singh,269,162.83,43.8,10.0,166,150.6,62.5,4.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN"
b4b99816,Shubman Gill,737,153.6,43.54,26.0,477,154.51,56.69,13.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
26d041c4,Sikandar Raza,84,133.33,28.0,4.0,52,134.62,23.33,3.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, VULNERABLE_VS_OFF_SPIN"
f836b33d,T Kohler-Cadmore,51,92.16,23.5,2.0,3,33.33,1.0,1.0,
85b3fab2,T Stubbs,247,164.78,50.88,8.0,164,157.32,36.86,7.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
f1f99156,TH David,301,179.73,36.07,15.0,92,126.09,29.0,4.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_SPIN"
12b610c2,TM Head,358,189.11,37.61,18.0,158,161.39,28.33,9.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
b0482a1d,Tilak Varma,400,160.0,32.0,20.0,330,140.0,57.75,8.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_LEG_SPIN"
ba607b88,V Kohli,779,161.62,50.36,25.0,587,125.55,56.69,13.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_WRIST_SPIN, SPECIALIST_VS_LEG_SPIN"
0994d0ae,V Shankar,197,147.72,36.38,8.0,132,141.67,31.17,6.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_OFF_SPIN"
470f446b,V Suryavanshi,65,195.38,31.75,4.0,50,190.0,31.67,3.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN"
a24be938,VR Iyer,359,162.67,29.2,20.0,234,127.35,29.8,10.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN"
9caf69a1,WG Jacks,156,178.21,34.75,8.0,143,128.67,26.29,7.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEFT_ARM_SPIN"
fe11caa6,WP Saha,299,135.79,21.37,19.0,93,102.15,19.0,5.0,SPECIALIST_VS_PACE
f19ccfad,Washington Sundar,92,164.13,21.57,7.0,49,85.71,21.0,2.0,
6c19c6e5,YBK Jaiswal,692,167.2,34.03,34.0,311,144.69,90.0,5.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_OFF_SPIN"
