batter_id,batter_name,innings,total_runs,total_balls,avg_runs,stddev_runs,cv_runs,overall_sr,avg_innings_sr,stddev_sr,boundary_pct,high_impact_innings,high_impact_pct,single_digit_dismissals,failure_rate,consistency_index,quality_multiplier,weighted_consistency
872b03f7,A Badoni,23,743.0,494.0,32.30434782608695,16.904938261293573,0.523,150.4,146.97,39.54,17.81,11.0,47.8,2.0,11.8,47.7,1.2,57.2
2c25d4f5,D Padikkal,17,514.0,366.0,30.235294117647058,16.064317095258804,0.531,140.44,134.95,44.06,19.4,7.0,41.2,1.0,6.7,46.9,1.1,51.6
3d8feaf8,MR Marsh,16,798.0,476.0,49.875,26.52327986882467,0.532,167.65,165.5,22.14,25.42,11.0,68.8,0.0,0.0,46.8,1.2,56.2
6a26221c,AK Markram,27,875.0,627.0,32.407407407407405,17.35950856801275,0.536,139.55,134.07,35.53,16.59,14.0,51.9,2.0,8.3,46.4,1.0,46.4
eade4650,DJ Mitchell,11,313.0,216.0,28.454545454545453,15.287330680627113,0.537,144.91,139.01,23.96,17.13,4.0,36.4,0.0,0.0,46.3,1.1,50.9
45a43fe2,RD Gaikwad,27,1285.0,868.0,47.592592592592595,25.65044113296106,0.539,148.04,145.25,31.96,19.47,20.0,74.1,1.0,4.5,46.1,1.1,50.7
dbe50b21,HH Pandya,23,660.0,452.0,28.695652173913043,15.638399736347694,0.545,146.02,148.95,56.86,18.36,8.0,34.8,2.0,11.8,45.5,1.1,50.1
800d2d97,JM Sharma,21,620.0,379.0,29.523809523809526,16.14405108662409,0.547,163.59,162.48,52.58,22.69,7.0,33.3,1.0,6.3,45.3,1.2,54.4
fffa744b,Naman Dhir,12,331.0,177.0,27.583333333333332,15.140774602230744,0.549,187.01,177.83,49.43,28.25,5.0,41.7,1.0,12.5,45.1,1.2,54.1
df5a6881,DP Conway,17,817.0,578.0,48.05882352941177,26.589406533286663,0.553,141.35,131.9,37.95,19.72,13.0,76.5,1.0,7.1,44.7,1.1,49.2
12b610c2,TM Head,19,915.0,495.0,48.1578947368421,26.91167455114628,0.559,184.85,178.0,57.14,31.52,12.0,63.2,0.0,0.0,44.1,1.2,52.9
fe93fd9d,RA Jadeja,24,665.0,476.0,27.708333333333332,15.70954902457596,0.567,139.71,137.23,32.1,15.55,7.0,29.2,1.0,7.7,43.3,1.0,43.3
235c2bb6,H Klaasen,33,1358.0,770.0,41.15151515151515,23.351232803899062,0.567,176.36,171.82,44.54,22.47,21.0,63.6,0.0,0.0,43.3,1.2,52.0
0a509d6b,RK Singh,25,734.0,485.0,29.36,16.66584531309468,0.568,151.34,149.49,44.62,19.38,10.0,40.0,1.0,6.3,43.2,1.2,51.8
84d9c311,Ashutosh Sharma,12,370.0,210.0,30.833333333333332,17.94822801529134,0.582,176.19,164.79,55.04,23.81,7.0,58.3,1.0,12.5,41.8,1.2,50.2
a24be938,VR Iyer,20,834.0,539.0,41.7,24.594918174289585,0.59,154.73,145.41,44.93,21.34,13.0,65.0,0.0,0.0,41.0,1.2,49.2
0a476045,S Dhawan,11,508.0,361.0,46.18181818181818,27.24240738867581,0.59,140.72,140.74,23.62,22.16,7.0,63.6,0.0,0.0,41.0,1.1,45.1
b17e2f24,KL Rahul,29,1268.0,942.0,43.724137931034484,26.226988668195684,0.6,134.61,129.84,31.5,16.77,18.0,62.1,1.0,3.8,40.0,1.0,40.0
9caf69a1,WG Jacks,10,395.0,250.0,39.5,23.90502039321448,0.605,158.0,148.49,40.01,22.8,5.0,50.0,0.0,0.0,39.5,1.2,47.4
85ec8e33,SS Iyer,22,910.0,547.0,41.36363636363637,25.071797728170875,0.606,166.36,158.83,56.36,22.49,14.0,63.6,3.0,23.1,39.4,1.2,47.3
c03f1114,KD Karthik,12,371.0,211.0,30.916666666666668,18.980069956550622,0.614,175.83,170.8,54.09,25.59,4.0,33.3,0.0,0.0,38.6,1.2,46.3
fb2d1dda,N Rana,17,615.0,408.0,36.1764705882353,22.22143981706074,0.614,150.74,138.09,47.14,22.55,9.0,52.9,4.0,25.0,38.6,1.2,46.3
