batter_id,batter_name,innings_count,mean_entry_ball,median_entry_ball,mode_entry_ball,mean_entry_over,median_entry_over,mode_entry_over,position_category,min_entry_ball,max_entry_ball
ce820073,Sandeep Sharma,26,111.4,116.0,120,18.56,19.33,20.0,LOWER_ORDER,62,126
cf73ad76,JEC Franklin,16,44.5,52.0,0,7.42,8.67,0.0,MIDDLE_ORDER,1,114
d014d5ac,SE Rutherford,20,76.2,80.0,78,12.7,13.33,13.0,LOWER_ORDER,14,121
d027ba9f,KS Williamson,76,35.7,27.5,0,5.95,4.58,0.0,MIDDLE_ORDER,1,111
d0513f63,CL White,45,50.3,45.0,30,8.38,7.5,5.0,MIDDLE_ORDER,2,125
d18f9182,DPMD Jayawardene,78,31.9,22.0,0,5.31,3.67,0.0,TOP_ORDER,1,116
d1a60072,N Wadhera,31,57.0,51.0,48,9.49,8.5,8.0,MIDDLE_ORDER,3,121
d1c36f5c,JJ Roy,21,8.9,1.0,0,1.48,0.17,0.0,OPENER,1,113
d2a6c0e6,EJG Morgan,74,57.9,62.5,18,9.65,10.42,3.0,LOWER_ORDER,1,117
d2a989fc,DS Kulkarni,20,108.6,114.0,114,18.09,19.0,19.0,LOWER_ORDER,68,126
d2c2b2d5,SR Tendulkar,78,6.5,5.0,0,1.09,0.83,0.0,OPENER,1,42
d2d4bb0a,TR Birt,5,79.2,93.0,96,13.2,15.5,16.0,LOWER_ORDER,43,97
d4f9dbd4,CA Pujara,22,28.2,2.0,0,4.7,0.33,0.0,OPENER,1,126
d5130a30,B Sai Sudharsan,40,15.0,7.5,0,2.49,1.25,0.0,TOP_ORDER,1,81
d67d5f00,DA Miller,133,67.4,66.0,48,11.23,11.0,8.0,LOWER_ORDER,8,124
d68e7f48,R Rampaul,7,104.0,109.0,108,17.33,18.17,18.0,LOWER_ORDER,65,128
d7017798,A Raghuvanshi,18,37.4,29.0,6,6.24,4.83,1.0,MIDDLE_ORDER,2,105
d7c6af50,DL Vettori,16,92.2,99.5,108,15.36,16.58,18.0,LOWER_ORDER,46,127
d84378a4,M Kaif,22,60.5,61.5,0,10.08,10.25,0.0,LOWER_ORDER,1,113
d8699ab7,ML Hayden,32,4.2,4.0,0,0.71,0.67,0.0,OPENER,2,10
d872f52a,LA Carseldine,5,48.0,35.0,0,8.0,5.83,0.0,MIDDLE_ORDER,5,105
d8b2f218,BB Sran,7,116.9,121.0,120,19.48,20.17,20.0,LOWER_ORDER,96,124
d9273ee7,MP Stoinis,99,64.0,72.0,78,10.66,12.0,13.0,LOWER_ORDER,1,121
da934ee8,MK Lomror,35,72.5,78.0,90,12.08,13.0,15.0,LOWER_ORDER,5,127
db31895a,AS Rajpoot,7,106.0,108.0,108,17.67,18.0,18.0,LOWER_ORDER,87,120
db584dad,CH Gayle,141,6.8,2.0,0,1.13,0.33,0.0,OPENER,1,79
dbe50b21,HH Pandya,140,75.0,82.5,90,12.49,13.75,15.0,LOWER_ORDER,3,121
dc9dd038,Sachin Baby,11,75.5,84.0,84,12.59,14.0,14.0,LOWER_ORDER,32,103
dcce6f09,DA Warner,184,6.2,1.0,0,1.03,0.17,0.0,OPENER,1,98
dcf81436,S Kaul,9,112.7,113.0,108,18.78,18.83,18.0,LOWER_ORDER,96,123
dd09ff8e,B Lee,19,106.8,110.0,114,17.8,18.33,19.0,LOWER_ORDER,68,124
dded65e7,IR Jaggi,7,41.1,34.0,30,6.86,5.67,5.0,MIDDLE_ORDER,2,108
de8cce37,VVS Laxman,20,14.6,5.5,0,2.43,0.92,0.0,OPENER,1,94
de8d3876,M Rawat,11,90.8,92.0,114,15.14,15.33,19.0,LOWER_ORDER,3,126
ded9240e,PJ Cummins,48,98.5,103.5,108,16.42,17.25,18.0,LOWER_ORDER,36,131
df064e1a,Ravi Bishnoi,16,107.8,113.0,108,17.97,18.83,18.0,LOWER_ORDER,67,127
df5a6881,DP Conway,28,4.7,3.0,0,0.78,0.5,0.0,OPENER,1,14
e087956b,BA Stokes,43,48.0,46.0,0,8.0,7.67,0.0,MIDDLE_ORDER,1,122
e1d1b294,HH Gibbs,36,8.1,6.0,0,1.36,1.0,0.0,OPENER,1,41
e249fdaa,A Chopra,6,23.7,6.0,0,3.94,1.0,0.0,OPENER,1,94
e2db2409,M Ashwin,12,107.0,113.5,120,17.83,18.92,20.0,LOWER_ORDER,76,127
e32d22f6,Pankaj Singh,5,118.2,117.0,114,19.7,19.5,19.0,LOWER_ORDER,114,125
e342e5fb,CR Brathwaite,14,93.7,99.5,102,15.62,16.58,17.0,LOWER_ORDER,64,109
e4a0deae,MJ Santner,19,98.3,113.0,120,16.39,18.83,20.0,LOWER_ORDER,2,124
e4cdf230,AS Roy,7,91.7,102.0,72,15.29,17.0,12.0,LOWER_ORDER,8,130
e62dd25d,K Rabada,30,104.3,113.0,120,17.38,18.83,20.0,LOWER_ORDER,35,124
e66732f8,RD Rickelton,14,3.0,1.0,0,0.5,0.17,0.0,OPENER,1,14
e798611a,HM Amla,16,4.4,1.5,0,0.73,0.25,0.0,OPENER,1,35
e86754b2,TK Curran,10,94.2,109.5,120,15.7,18.25,20.0,LOWER_ORDER,48,123
e938e1bc,P Kumar,57,102.8,109.0,108,17.13,18.17,18.0,LOWER_ORDER,1,124
e94915e6,SM Curran,53,64.3,75.0,0,10.72,12.5,0.0,LOWER_ORDER,1,126
eaa76d3c,C Green,28,49.3,32.5,18,8.21,5.42,3.0,MIDDLE_ORDER,1,115
eade4650,DJ Mitchell,15,41.9,24.0,18,6.98,4.0,3.0,TOP_ORDER,2,120
edb3d4f8,KC Cariappa,5,105.8,115.0,114,17.63,19.17,19.0,LOWER_ORDER,71,122
eea6b7f1,SP Fleming,10,6.1,6.5,6,1.02,1.08,1.0,TOP_ORDER,2,11
eef2536f,Avesh Khan,13,115.8,118.0,114,19.29,19.67,19.0,LOWER_ORDER,83,129
efc04be7,Noor Ahmad,11,111.5,117.0,114,18.58,19.5,19.0,LOWER_ORDER,74,129
f088b960,SN Khan,36,68.7,72.5,24,11.44,12.08,4.0,LOWER_ORDER,3,128
f0f628c7,MM Patel,12,107.9,111.5,108,17.99,18.58,18.0,LOWER_ORDER,81,123
f10e94c4,AD Nath,10,65.4,63.5,78,10.9,10.58,13.0,LOWER_ORDER,24,109
f19ccfad,Washington Sundar,43,88.7,97.0,114,14.79,16.17,19.0,LOWER_ORDER,1,125
f1f99156,TH David,44,91.4,93.5,90,15.23,15.58,15.0,LOWER_ORDER,38,124
f233bbb4,ST Jayasuriya,30,3.3,1.0,0,0.54,0.17,0.0,OPENER,1,35
f24c6701,M Theekshana,6,101.2,109.5,114,16.86,18.25,19.0,LOWER_ORDER,62,122
f29185a1,Abhishek Sharma,74,28.1,4.5,0,4.68,0.75,0.0,OPENER,1,125
f3cb53a1,MV Boucher,23,75.7,85.0,90,12.62,14.17,15.0,LOWER_ORDER,1,117
f5180fe6,MG Johnson,28,106.9,112.5,114,17.82,18.75,19.0,LOWER_ORDER,45,127
f62772e5,P Negi,35,91.4,100.0,108,15.24,16.67,18.0,LOWER_ORDER,27,122
f842c2cf,MJ Clarke,6,9.7,6.5,0,1.61,1.08,0.0,TOP_ORDER,2,23
f846de6a,MN Samuels,14,55.3,50.5,24,9.21,8.42,4.0,MIDDLE_ORDER,16,125
f89d3b11,Sameer Rizvi,9,64.7,65.0,60,10.78,10.83,10.0,LOWER_ORDER,6,116
f986ca1a,HV Patel,41,101.0,106.0,114,16.84,17.67,19.0,LOWER_ORDER,45,127
f9e6e7ef,Shahbaz Ahmed,38,75.2,76.5,102,12.53,12.75,17.0,LOWER_ORDER,2,123
fa463154,AB Agarkar,18,94.0,102.0,108,15.67,17.0,18.0,LOWER_ORDER,13,126
facb9086,SD Chitnis,8,86.8,96.0,108,14.46,16.0,18.0,LOWER_ORDER,29,113
fb2d1dda,N Rana,112,33.8,28.0,24,5.64,4.67,4.0,MIDDLE_ORDER,1,122
fb66ce1f,CH Morris,49,93.8,99.0,114,15.63,16.5,19.0,LOWER_ORDER,24,119
fcc21ace,A Kamboj,6,112.8,114.0,120,18.81,19.0,20.0,LOWER_ORDER,98,125
fd835ab3,DJ Hussey,61,55.2,53.0,24,9.2,8.83,4.0,MIDDLE_ORDER,15,126
fdedb37c,SM Katich,11,19.6,7.0,0,3.27,1.17,0.0,TOP_ORDER,2,93
fe11caa6,WP Saha,143,34.1,10.0,0,5.68,1.67,0.0,TOP_ORDER,1,125
fe763256,Y Venugopal Rao,52,64.8,65.0,78,10.79,10.83,13.0,LOWER_ORDER,2,121
fe93fd9d,RA Jadeja,194,80.8,83.5,78,13.47,13.92,13.0,LOWER_ORDER,12,129
ff077124,Kamran Akmal,6,30.2,16.0,0,5.03,2.67,0.0,TOP_ORDER,1,77
ff1e12a0,AJ Turner,6,98.2,103.5,102,16.36,17.25,17.0,LOWER_ORDER,73,109
ffe699c0,CJ Jordan,12,104.8,108.0,108,17.46,18.0,18.0,LOWER_ORDER,89,122
fffa744b,Naman Dhir,19,69.5,91.0,90,11.59,15.17,15.0,LOWER_ORDER,5,112
