batter_id,batter_name,bowling_type,balls,runs,dismissals,fours,sixes,dot_balls,strike_rate,average,dot_pct,boundary_pct
b5797845,Priyansh Arya,Right-arm leg-spin,7,10.0,2.0,2.0,0.0,3.0,142.86,5.0,42.86,28.57
b5797845,Priyansh Arya,Right-arm off-spin,15,19.0,0.0,0.0,2.0,6.0,126.67,,40.0,13.33
b5797845,Priyansh Arya,Right-arm pace,69,109.0,3.0,11.0,7.0,30.0,157.97,36.33,43.48,26.09
b5797845,Priyansh Arya,Wrist-spin,13,27.0,1.0,2.0,2.0,3.0,207.69,27.0,23.08,30.77
372455c4,Q de Kock,Fast-Medium,124,172.0,11.0,18.0,10.0,58.0,138.71,15.64,46.77,22.58
372455c4,Q de Kock,LA Orthodox,12,19.0,0.0,2.0,0.0,1.0,158.33,,8.33,16.67
372455c4,Q de Kock,Left-arm pace,34,36.0,0.0,4.0,1.0,17.0,105.88,,50.0,14.71
372455c4,Q de Kock,Right-arm leg-spin,35,64.0,2.0,5.0,3.0,5.0,182.86,32.0,14.29,22.86
372455c4,Q de Kock,Right-arm off-spin,29,29.0,1.0,1.0,1.0,8.0,100.0,29.0,27.59,6.9
372455c4,Q de Kock,Right-arm pace,81,118.0,4.0,10.0,7.0,29.0,145.68,29.5,35.8,20.99
372455c4,Q de Kock,Wrist-spin,6,11.0,0.0,2.0,0.0,1.0,183.33,,16.67,33.33
495d42a5,R Ashwin,Fast-Medium,29,35.0,5.0,3.0,2.0,12.0,120.69,7.0,41.38,17.24
495d42a5,R Ashwin,LA Orthodox,23,22.0,1.0,2.0,0.0,9.0,95.65,22.0,39.13,8.7
495d42a5,R Ashwin,Left-arm orthodox,3,0.0,1.0,0.0,0.0,3.0,0.0,0.0,100.0,0.0
495d42a5,R Ashwin,Left-arm pace,13,22.0,1.0,1.0,2.0,3.0,169.23,22.0,23.08,23.08
495d42a5,R Ashwin,Off-Spin/Leg-Spin,4,3.0,1.0,0.0,0.0,1.0,75.0,3.0,25.0,0.0
495d42a5,R Ashwin,Right-arm leg-spin,17,20.0,2.0,2.0,1.0,8.0,117.65,10.0,47.06,17.65
495d42a5,R Ashwin,Right-arm off-spin,6,5.0,1.0,1.0,0.0,4.0,83.33,5.0,66.67,16.67
495d42a5,R Ashwin,Right-arm pace,15,29.0,1.0,2.0,2.0,1.0,193.33,29.0,6.67,26.67
495d42a5,R Ashwin,Wrist-spin,10,13.0,1.0,0.0,1.0,2.0,130.0,13.0,20.0,10.0
26a85969,R Dhawan,Right-arm off-spin,11,19.0,1.0,1.0,1.0,3.0,172.73,19.0,27.27,18.18
bafd0398,R Minz,Fast-Medium,3,2.0,0.0,0.0,0.0,2.0,66.67,,66.67,0.0
bafd0398,R Minz,LA Orthodox,3,1.0,1.0,0.0,0.0,2.0,33.33,1.0,66.67,0.0
bafd0398,R Minz,Wrist-spin,5,2.0,1.0,0.0,0.0,3.0,40.0,2.0,60.0,0.0
04a418e8,R Parag,Fast-Medium,156,278.0,8.0,26.0,19.0,58.0,178.21,34.75,37.18,28.85
04a418e8,R Parag,LA Orthodox,90,110.0,3.0,6.0,4.0,23.0,122.22,36.67,25.56,11.11
04a418e8,R Parag,Left-arm orthodox,9,7.0,1.0,1.0,0.0,6.0,77.78,7.0,66.67,11.11
04a418e8,R Parag,Left-arm pace,34,45.0,3.0,3.0,2.0,10.0,132.35,15.0,29.41,14.71
04a418e8,R Parag,Off-Spin/Leg-Spin,3,2.0,0.0,0.0,0.0,1.0,66.67,,33.33,0.0
04a418e8,R Parag,Right-arm leg-spin,81,92.0,2.0,5.0,3.0,26.0,113.58,46.0,32.1,9.88
04a418e8,R Parag,Right-arm off-spin,25,40.0,1.0,1.0,3.0,6.0,160.0,40.0,24.0,16.0
04a418e8,R Parag,Right-arm pace,112,178.0,5.0,15.0,10.0,35.0,158.93,35.6,31.25,22.32
04a418e8,R Parag,Wrist-spin,57,83.0,1.0,3.0,7.0,21.0,145.61,83.0,36.84,17.54
650d5e49,R Powell,Fast-Medium,14,21.0,0.0,2.0,1.0,5.0,150.0,,35.71,21.43
650d5e49,R Powell,LA Orthodox,4,3.0,0.0,0.0,0.0,1.0,75.0,,25.0,0.0
650d5e49,R Powell,Left-arm orthodox,4,1.0,0.0,0.0,0.0,3.0,25.0,,75.0,0.0
650d5e49,R Powell,Left-arm pace,9,12.0,3.0,3.0,0.0,6.0,133.33,4.0,66.67,33.33
650d5e49,R Powell,Right-arm leg-spin,7,6.0,2.0,1.0,0.0,5.0,85.71,3.0,71.43,14.29
650d5e49,R Powell,Right-arm off-spin,10,18.0,1.0,1.0,2.0,5.0,180.0,18.0,50.0,30.0
650d5e49,R Powell,Right-arm pace,17,32.0,2.0,4.0,1.0,5.0,188.24,16.0,29.41,29.41
650d5e49,R Powell,Wrist-spin,2,2.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0
ba5e1069,R Ravindra,Fast-Medium,90,119.0,4.0,15.0,3.0,39.0,132.22,29.75,43.33,20.0
ba5e1069,R Ravindra,LA Orthodox,16,21.0,0.0,1.0,1.0,4.0,131.25,,25.0,12.5
ba5e1069,R Ravindra,Left-arm pace,25,45.0,2.0,8.0,0.0,5.0,180.0,22.5,20.0,32.0
ba5e1069,R Ravindra,Off-Spin/Leg-Spin,7,14.0,0.0,2.0,0.0,0.0,200.0,,0.0,28.57
ba5e1069,R Ravindra,Right-arm leg-spin,20,24.0,2.0,2.0,1.0,7.0,120.0,12.0,35.0,15.0
ba5e1069,R Ravindra,Right-arm off-spin,18,20.0,1.0,0.0,0.0,2.0,111.11,20.0,11.11,0.0
ba5e1069,R Ravindra,Right-arm pace,49,83.0,4.0,8.0,5.0,18.0,169.39,20.75,36.73,26.53
ba5e1069,R Ravindra,Wrist-spin,10,24.0,0.0,0.0,3.0,2.0,240.0,,20.0,30.0
c7a995d3,R Sai Kishore,Right-arm off-spin,2,1.0,1.0,0.0,0.0,1.0,50.0,1.0,50.0,0.0
c7a995d3,R Sai Kishore,Right-arm pace,4,2.0,1.0,0.0,0.0,1.0,50.0,2.0,25.0,0.0
c7a995d3,R Sai Kishore,Wrist-spin,5,2.0,0.0,0.0,0.0,3.0,40.0,,60.0,0.0
c5aef772,R Shepherd,Fast-Medium,17,52.0,2.0,4.0,5.0,3.0,305.88,26.0,17.65,52.94
c5aef772,R Shepherd,Right-arm leg-spin,5,14.0,0.0,2.0,1.0,2.0,280.0,,40.0,60.0
c5aef772,R Shepherd,Right-arm pace,20,59.0,2.0,4.0,6.0,4.0,295.0,29.5,20.0,50.0
39a2dfa8,R Tewatia,Fast-Medium,32,55.0,4.0,7.0,2.0,8.0,171.88,13.75,25.0,28.13
39a2dfa8,R Tewatia,LA Orthodox,17,17.0,1.0,2.0,0.0,8.0,100.0,17.0,47.06,11.76
39a2dfa8,R Tewatia,Left-arm pace,20,40.0,2.0,5.0,2.0,6.0,200.0,20.0,30.0,35.0
39a2dfa8,R Tewatia,Right-arm leg-spin,2,3.0,0.0,0.0,0.0,0.0,150.0,,0.0,0.0
39a2dfa8,R Tewatia,Right-arm pace,100,164.0,3.0,13.0,11.0,32.0,164.0,54.67,32.0,24.0
39a2dfa8,R Tewatia,Wrist-spin,13,7.0,2.0,0.0,0.0,6.0,53.85,3.5,46.15,0.0
ba6b2f91,RA Bawa,Fast-Medium,4,8.0,0.0,0.0,0.0,0.0,200.0,,0.0,0.0
fe93fd9d,RA Jadeja,Fast-Medium,154,213.0,7.0,16.0,7.0,40.0,138.31,30.43,25.97,14.94
fe93fd9d,RA Jadeja,LA Orthodox,31,34.0,1.0,4.0,0.0,9.0,109.68,34.0,29.03,12.9
fe93fd9d,RA Jadeja,Left-arm pace,41,63.0,1.0,5.0,3.0,9.0,153.66,63.0,21.95,19.51
fe93fd9d,RA Jadeja,Off-Spin/Left-Arm Orthodox,6,2.0,1.0,0.0,0.0,4.0,33.33,2.0,66.67,0.0
fe93fd9d,RA Jadeja,Off-Spin/Leg-Spin,4,5.0,0.0,0.0,0.0,0.0,125.0,,0.0,0.0
fe93fd9d,RA Jadeja,Right-arm leg-spin,89,117.0,3.0,7.0,5.0,26.0,131.46,39.0,29.21,13.48
fe93fd9d,RA Jadeja,Right-arm off-spin,32,26.0,3.0,1.0,0.0,12.0,81.25,8.67,37.5,3.13
fe93fd9d,RA Jadeja,Right-arm pace,100,159.0,1.0,16.0,4.0,15.0,159.0,159.0,15.0,20.0
fe93fd9d,RA Jadeja,Wrist-spin,13,15.0,1.0,0.0,1.0,5.0,115.38,15.0,38.46,7.69
77255a9e,RA Tripathi,Fast-Medium,76,76.0,7.0,9.0,2.0,37.0,100.0,10.86,48.68,14.47
77255a9e,RA Tripathi,LA Orthodox,41,46.0,1.0,7.0,0.0,17.0,112.2,46.0,41.46,17.07
77255a9e,RA Tripathi,Left-arm pace,31,38.0,1.0,5.0,0.0,11.0,122.58,38.0,35.48,16.13
77255a9e,RA Tripathi,Right-arm leg-spin,41,50.0,3.0,5.0,2.0,17.0,121.95,16.67,41.46,17.07
77255a9e,RA Tripathi,Right-arm off-spin,40,38.0,2.0,2.0,0.0,10.0,95.0,19.0,25.0,5.0
77255a9e,RA Tripathi,Right-arm pace,43,55.0,4.0,5.0,3.0,21.0,127.91,13.75,48.84,18.6
77255a9e,RA Tripathi,Wrist-spin,5,4.0,0.0,0.0,0.0,1.0,80.0,,20.0,0.0
2ed569a0,RD Chahar,Fast-Medium,3,1.0,1.0,0.0,0.0,2.0,33.33,1.0,66.67,0.0
2ed569a0,RD Chahar,Right-arm leg-spin,4,0.0,1.0,0.0,0.0,4.0,0.0,0.0,100.0,0.0
