bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,economy_diff,strike_rate_diff,lhb_wickets_per_ball,rhb_wickets_per_ball,wickets_per_ball_diff,handedness_tags
c0c411cb,Naveen-ul-Haq,129,9.95,18.43,7.0,173,9.57,13.31,13.0,0.379999999999999,5.119999999999999,0.05426356589147287,0.07514450867052024,-0.020880942779047368,RHB_WICKET_TAKER
efc04be7,Noor Ahmad,258,7.86,14.33,18.0,441,8.45,19.17,23.0,-0.589999999999999,-4.840000000000002,0.06976744186046512,0.05215419501133787,0.017613246849127247,
ded9240e,PJ Cummins,229,9.35,28.63,8.0,316,9.13,17.56,18.0,0.21999999999999886,11.07,0.034934497816593885,0.056962025316455694,-0.02202752749986181,RHB_WICKET_TAKER
98ae73b1,PP Chawla,154,9.12,17.11,9.0,234,8.44,14.63,16.0,0.6799999999999997,2.4799999999999986,0.05844155844155844,0.06837606837606838,-0.009934509934509943,
a97c8ec2,PWH de Silva,100,10.5,20.0,5.0,260,8.95,21.67,12.0,1.5500000000000007,-1.6700000000000017,0.05,0.046153846153846156,0.0038461538461538464,"RHB_SPECIALIST, LHB_VULNERABLE"
495d42a5,R Ashwin,295,8.68,26.82,11.0,337,8.85,37.44,9.0,-0.16999999999999993,-10.619999999999997,0.03728813559322034,0.026706231454005934,0.010581904139214407,
c7a995d3,R Sai Kishore,69,11.91,23.0,3.0,255,8.87,13.42,19.0,3.040000000000001,9.58,0.043478260869565216,0.07450980392156863,-0.03103154305200341,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
fe93fd9d,RA Jadeja,264,8.48,22.0,12.0,424,7.47,20.19,21.0,1.0100000000000007,1.8099999999999987,0.045454545454545456,0.049528301886792456,-0.004073756432247,"RHB_SPECIALIST, LHB_VULNERABLE"
2ed569a0,RD Chahar,155,7.16,19.38,8.0,238,9.08,39.67,6.0,-1.92,-20.290000000000003,0.05161290322580645,0.025210084033613446,0.026402819192193006,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER"
5f547c8b,Rashid Khan,339,8.23,17.84,19.0,506,9.21,29.76,17.0,-0.9800000000000004,-11.920000000000002,0.05604719764011799,0.03359683794466403,0.02245035969545396,LHB_WICKET_TAKER
b8527c3d,Rasikh Salam,60,10.6,15.0,4.0,101,11.41,20.2,5.0,-0.8100000000000005,-5.199999999999999,0.06666666666666667,0.04950495049504951,0.01716171617161716,
df064e1a,Ravi Bishnoi,244,8.75,18.77,13.0,371,9.83,30.92,12.0,-1.08,-12.150000000000002,0.05327868852459016,0.03234501347708895,0.02093367504750121,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER"
e94915e6,SM Curran,170,9.67,21.25,8.0,298,11.21,19.87,15.0,-1.540000000000001,1.379999999999999,0.047058823529411764,0.050335570469798654,-0.0032767469403868904,"LHB_SPECIALIST, RHB_VULNERABLE"
1abb78f8,SN Thakur,198,11.39,22.0,9.0,240,9.65,21.82,11.0,1.7400000000000002,0.17999999999999972,0.045454545454545456,0.04583333333333333,-0.0003787878787878743,"RHB_SPECIALIST, LHB_VULNERABLE"
9d430b40,SP Narine,239,7.76,18.38,13.0,469,7.71,27.59,17.0,0.04999999999999982,-9.21,0.05439330543933055,0.03624733475479744,0.018145970684533108,
ce820073,Sandeep Sharma,238,8.62,21.64,11.0,330,9.44,14.35,23.0,-0.8200000000000003,7.290000000000001,0.046218487394957986,0.0696969696969697,-0.023478482302011716,RHB_WICKET_TAKER
30df8c66,Simarjeet Singh,60,12.4,20.0,3.0,72,12.0,14.4,5.0,0.40000000000000036,5.6,0.05,0.06944444444444445,-0.019444444444444445,
9440ef41,Suyash Sharma,192,9.38,38.4,5.0,290,9.41,32.22,9.0,-0.02999999999999936,6.18,0.026041666666666668,0.03103448275862069,-0.004992816091954021,
ce794613,T Natarajan,218,9.72,15.57,14.0,252,8.93,19.38,13.0,0.7900000000000009,-3.8099999999999987,0.06422018348623854,0.051587301587301584,0.012632881898936951,
a818c1be,TA Boult,276,8.5,17.25,16.0,391,8.49,13.96,28.0,0.009999999999999787,3.289999999999999,0.057971014492753624,0.07161125319693094,-0.01364023870417732,
46a9bea1,TU Deshpande,250,10.22,20.83,12.0,395,10.12,17.95,22.0,0.10000000000000142,2.879999999999999,0.048,0.05569620253164557,-0.007696202531645567,
5ffc0565,V Nigam,77,8.96,19.25,4.0,143,9.78,20.43,7.0,-0.8199999999999985,-1.1799999999999997,0.05194805194805195,0.04895104895104895,0.0029970029970029996,
7c3b3b78,VG Arora,172,9.03,10.75,16.0,279,10.43,19.93,14.0,-1.4000000000000004,-9.18,0.09302325581395349,0.05017921146953405,0.042844044344419435,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER"
54e52590,Vijaykumar Vyshak,107,10.49,21.4,5.0,169,10.65,24.14,7.0,-0.16000000000000014,-2.740000000000002,0.04672897196261682,0.04142011834319527,0.005308853619421551,
f19ccfad,Washington Sundar,93,8.32,46.5,2.0,73,10.6,24.33,3.0,-2.2799999999999994,22.17,0.021505376344086023,0.0410958904109589,-0.01959051406687288,"LHB_SPECIALIST, RHB_VULNERABLE"
57ee1fde,YS Chahal,264,10.98,24.0,11.0,456,8.41,16.89,27.0,2.5700000000000003,7.109999999999999,0.041666666666666664,0.05921052631578947,-0.017543859649122806,"RHB_SPECIALIST, LHB_VULNERABLE"
7210d461,Yash Dayal,281,10.74,25.55,11.0,313,9.3,19.56,16.0,1.4399999999999995,5.990000000000002,0.03914590747330961,0.051118210862619806,-0.011972303389310199,"RHB_SPECIALIST, LHB_VULNERABLE"
4b31f3a3,Yash Thakur,139,11.44,34.75,4.0,216,11.08,12.71,17.0,0.35999999999999943,22.04,0.02877697841726619,0.0787037037037037,-0.04992672528643752,RHB_WICKET_TAKER
