batter_id,batter_name,pace_balls,pace_sr,pace_avg,pace_dismissals,spin_balls,spin_sr,spin_avg,spin_dismissals,bowling_type_tags
271f83cd,SA Yadav,104,211.54,55.0,4.0,0,0.0,,0.0,SPECIALIST_VS_PACE
e94915e6,SM Curran,64,131.25,42.0,2.0,30,113.33,,0.0,SPECIALIST_VS_PACE
48a1d7b7,SO Hetmyer,34,194.12,,0.0,0,0.0,,0.0,
9d430b40,SP Narine,30,230.0,69.0,1.0,38,207.89,,0.0,SPECIALIST_VS_PACE
85ec8e33,SS Iyer,39,146.15,28.5,2.0,0,0.0,,0.0,SPECIALIST_VS_PACE
a4cc73aa,SV Samson,83,157.83,65.5,2.0,67,150.75,101.0,1.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_OFF_SPIN"
26989d80,Shashank Singh,56,196.43,,0.0,0,0.0,,0.0,
b4b99816,Shubman Gill,119,184.03,109.5,2.0,123,167.48,34.33,6.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
85b3fab2,T Stubbs,35,214.29,,0.0,0,0.0,,0.0,
f1f99156,TH David,55,147.27,40.5,2.0,0,0.0,,0.0,SPECIALIST_VS_PACE
12b610c2,TM Head,0,0.0,,0.0,56,171.43,96.0,1.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_OFF_SPIN"
b0482a1d,Tilak Varma,56,158.93,22.25,4.0,49,120.41,,0.0,
ba607b88,V Kohli,76,181.58,69.0,2.0,86,98.84,85.0,1.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_LEFT_ARM_SPIN, VULNERABLE_VS_OFF_SPIN"
0994d0ae,V Shankar,30,153.33,46.0,1.0,0,0.0,,0.0,SPECIALIST_VS_PACE
a24be938,VR Iyer,80,197.5,52.67,3.0,45,108.89,16.33,3.0,"SPECIALIST_VS_PACE, VULNERABLE_VS_SPIN, VULNERABLE_VS_OFF_SPIN"
fe11caa6,WP Saha,31,87.1,13.5,2.0,0,0.0,,0.0,VULNERABLE_VS_PACE
6c19c6e5,YBK Jaiswal,93,159.14,37.0,4.0,95,140.0,66.5,2.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_OFF_SPIN"
