bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,lhb_wickets_per_ball,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,rhb_wickets_per_ball,economy_diff,wickets_per_ball_diff,handedness_tags
2f9d0389,LH Ferguson,98,9.67,16.33,6.0,0.0612,125,10.08,12.5,10.0,0.08,-0.41000000000000014,-0.018800000000000004,
50c6bc2b,LS Livingstone,60,8.9,30.0,2.0,0.0333,76,10.11,25.33,3.0,0.0395,-1.209999999999999,-0.006199999999999997,"LHB_SPECIALIST, RHB_VULNERABLE, RHB_PRESSURE"
81c36ee9,M Jansen,200,10.83,15.38,13.0,0.065,266,10.11,22.17,12.0,0.0451,0.7200000000000006,0.0199,
a9fd84fb,M Markande,115,9.65,38.33,3.0,0.0261,174,9.14,15.82,11.0,0.0632,0.5099999999999998,-0.03710000000000001,RHB_WICKET_TAKER
64839cb3,M Pathirana,223,9.04,11.74,19.0,0.0852,351,9.35,14.63,24.0,0.0684,-0.3100000000000005,0.016799999999999995,LHB_PRESSURE
85e0cf10,M Prasidh Krishna,110,6.82,10.0,11.0,0.1,218,8.97,15.57,14.0,0.0642,-2.1500000000000004,0.03580000000000001,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER, LHB_PRESSURE"
f24c6701,M Theekshana,210,8.29,21.0,10.0,0.0476,326,8.94,46.57,7.0,0.0215,-0.6500000000000004,0.026100000000000005,"LHB_WICKET_TAKER, LHB_PRESSURE"
3fb19989,MA Starc,130,10.38,11.82,11.0,0.0846,278,11.03,16.35,17.0,0.0612,-0.6499999999999986,0.023399999999999997,LHB_WICKET_TAKER
e4a0deae,MJ Santner,70,9.34,70.0,1.0,0.0143,246,7.73,20.5,12.0,0.0488,1.6099999999999994,-0.0345,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER, RHB_PRESSURE"
bb351c23,MM Ali,103,6.0,20.6,5.0,0.0485,133,10.15,33.25,4.0,0.0301,-4.15,0.018400000000000003,"LHB_SPECIALIST, RHB_VULNERABLE"
759ac88f,MM Sharma,201,10.96,22.33,9.0,0.0448,352,9.65,14.08,25.0,0.071,1.3100000000000005,-0.026199999999999994,"RHB_SPECIALIST, LHB_VULNERABLE, RHB_WICKET_TAKER"
d9273ee7,MP Stoinis,102,11.18,17.0,6.0,0.0588,107,10.09,17.83,6.0,0.0561,1.0899999999999999,0.002700000000000001,"RHB_SPECIALIST, LHB_VULNERABLE, LHB_PRESSURE"
