batter_id,batter_name,innings_count,mean_entry_ball,median_entry_ball,mode_entry_ball,mean_entry_over,median_entry_over,mode_entry_over,position_category,min_entry_ball,max_entry_ball
d67d5f00,DA Miller,32,73.4,77.0,78,12.23,12.83,13.0,LOWER_ORDER,24,111
d7017798,A Raghuvanshi,18,35.1,27.5,24,5.84,4.58,4.0,MIDDLE_ORDER,2,100
d9273ee7,MP Stoinis,40,51.6,42.5,36,8.6,7.08,6.0,MIDDLE_ORDER,4,117
da934ee8,MK Lomror,20,77.8,82.5,72,12.97,13.75,12.0,LOWER_ORDER,5,120
dbe50b21,HH Pandya,40,64.2,70.0,66,10.7,11.67,11.0,LOWER_ORDER,9,112
dcce6f09,DA Warner,22,2.7,1.0,0,0.45,0.17,0.0,OPENER,1,13
ded9240e,PJ Cummins,19,98.9,102.0,114,16.48,17.0,19.0,LOWER_ORDER,56,120
df5a6881,DP Conway,21,4.4,3.0,0,0.73,0.5,0.0,OPENER,1,13
e94915e6,SM Curran,30,51.2,45.0,24,8.53,7.5,4.0,MIDDLE_ORDER,1,120
eaa76d3c,C Green,28,47.8,31.5,102,7.96,5.25,17.0,MIDDLE_ORDER,1,109
f1f99156,TH David,35,88.7,92.0,90,14.79,15.33,15.0,LOWER_ORDER,38,117
f29185a1,Abhishek Sharma,40,9.2,3.0,0,1.53,0.5,0.0,OPENER,1,78
f9e6e7ef,Shahbaz Ahmed,19,69.4,74.0,96,11.56,12.33,16.0,LOWER_ORDER,2,117
fb2d1dda,N Rana,27,35.1,27.0,24,5.85,4.5,4.0,MIDDLE_ORDER,4,120
fe11caa6,WP Saha,26,1.0,1.0,0,0.17,0.17,0.0,OPENER,1,1
fe93fd9d,RA Jadeja,37,73.1,80.0,78,12.18,13.33,13.0,LOWER_ORDER,20,118
fffa744b,Naman Dhir,19,66.8,86.0,6,11.14,14.33,1.0,LOWER_ORDER,5,107
